,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
562,563,184614,"[예다움] 철제 멀티테이블 (직) 1단 800x600x330, 색상선택:화이트",31700,182444462,https://www.coupang.com/vp/products/182444462?itemId=522685827&vendorItemId=5592463840&sourceType=CATEGORY&categoryId=184514,False,0,5.0,1.0,False,예다움,0,['쿠팡상품번호: 182444462 - 522685827'],[],1.0
563,564,184614,"[제이픽스] 세렉트 패브릭 와이드 수납 서랍장 3단 7문, 색상선택:믹스",81410,5219590039,https://www.coupang.com/vp/products/5219590039?itemId=7322378768&vendorItemId=74613634647&sourceType=CATEGORY&categoryId=184514,False,59,5.0,1.0,False,제이픽스,0,['쿠팡상품번호: 5219590039 - 7322378768'],[],1.0
564,565,184614,"이케아 BRUSALI 브루살리 키큰장 도어수납장 서랍장 (80x190cm), 화이트_603.528.48",238000,1519228859,https://www.coupang.com/vp/products/1519228859?itemId=2606940274&vendorItemId=70997517296&sourceType=CATEGORY&categoryId=184514,False,0,,,False,이케아,착불배송,['쿠팡상품번호: 1519228859 - 2606940274'],[],
565,566,184614,"심플 600 다용도 수납장 서랍장, 고무나무",114000,5348479133,https://www.coupang.com/vp/products/5348479133?itemId=7860473625&vendorItemId=75150111777&sourceType=CATEGORY&categoryId=184514,False,8,,,False,,착불배송,['쿠팡상품번호: 5348479133 - 7860473625'],[],
566,567,184614,"엣지퍼니처 로웰 하이그로시 800 수납장, 오크화이트",128000,58545346,https://www.coupang.com/vp/products/58545346?itemId=203180831&vendorItemId=3481696192&sourceType=CATEGORY&categoryId=184514,False,0,5.0,2.0,False,엣지퍼니처,착불배송,"['재질: 합성목재', '사이즈: 너비: W850mm X 깊이 : D400mm X 높이 : 830mm', '가로길이: 85cm', '바퀴 유무: 바퀴없음', '색상계열: 화이트계열', '쿠팡상품번호: 58545346 - 203180831']",[],2.0
567,568,184614,"[예다움] 프리미엄 5단 수납장 /서랍장/협탁/옷장/소형/틈새장/코너장/선반/수납합/소품수납/속옷장/양말장, 워시그린_공통",36400,1259848161,https://www.coupang.com/vp/products/1259848161?itemId=2260815080&vendorItemId=70258094635&sourceType=CATEGORY&categoryId=184514,False,0,4.0,1.0,False,,0,['쿠팡상품번호: 1259848161 - 2260815080'],[],1.0
568,569,184614,"보노하우스 레브 선반 수납장 4단 더블 A타입, 화이트 프레임_투명",89900,22173284,https://www.coupang.com/vp/products/22173284?itemId=86259658&vendorItemId=3146751540&sourceType=CATEGORY&categoryId=184514,False,0,,,False,보노하우스,0,['쿠팡상품번호: 22173284 - 86259658'],[],
569,570,184614,"벨라홈 라운딩 3단 책장_오픈형(CN6098), 네츄럴옹이",35200,4632021831,https://www.coupang.com/vp/products/4632021831?itemId=5752088572&vendorItemId=73050711821&sourceType=CATEGORY&categoryId=184514,False,0,,,False,벨라홈,0,['쿠팡상품번호: 4632021831 - 5752088572'],[],
570,571,184614,"도아르 주방 거실 안방 시스템 멀티 다용도 수납장, 1200 수납장-화이트",129000,1407144934,https://www.coupang.com/vp/products/1407144934?itemId=2442895080&vendorItemId=70436636714&sourceType=CATEGORY&categoryId=184514,False,0,3.0,1.0,False,,착불배송,"['인테리어 컨셉: 모던/심플', '바퀴 유무: 바퀴없음', '서랍 개수: 0', '단 수: 3개', '가로길이: 120cm', '쿠팡상품번호: 1407144934 - 2442895080']",[],
571,572,184614,"[더게이트] 무인택배함 2단 보관함, [전면]다크그레이,[외관]블랙",175000,1583181308,https://www.coupang.com/vp/products/1583181308?itemId=2706323127&vendorItemId=5412844821&sourceType=CATEGORY&categoryId=184514,False,0,,,False,,"35,000",['쿠팡상품번호: 1583181308 - 2706323127'],[],
572,573,184614,"제이픽스 아이언 철제 5단 다용도 수납장 800, 블랙",89800,5184101810,https://www.coupang.com/vp/products/5184101810?itemId=7177636089&vendorItemId=74469321165&sourceType=CATEGORY&categoryId=184514,False,39,,,False,제이픽스,0,"['색상: 블랙', '재질: 원목/우드', '투명 여부: 불투명', '가구 단수: 5', '가구 수납 형태: 선반형', '쿠팡상품번호: 5184101810 - 7177636089']",[],
573,574,184614,"베스트락커 무인택배함 1열 3단 4단 5단, 고급형1열 5단 그레이",420000,1464778196,https://www.coupang.com/vp/products/1464778196?itemId=2519209427&vendorItemId=70512121704&sourceType=CATEGORY&categoryId=184514,False,0,3.0,1.0,False,,"40,000",['쿠팡상품번호: 1464778196 - 2519209427'],[],1.0
574,575,184614,"신혼가구 라솔 600 높은 양문 수납장 이케아스타일 모던심플, 화이트",172800,5354752999,https://www.coupang.com/vp/products/5354752999?itemId=7885060575&vendorItemId=75174544821&sourceType=CATEGORY&categoryId=184514,False,0,,,False,,착불배송,['쿠팡상품번호: 5354752999 - 7885060575'],[],
575,576,184614,[아이엔지홈] 킨포크 수납장 핑크,128000,165306810,https://www.coupang.com/vp/products/165306810?itemId=474060413&vendorItemId=4186997671&sourceType=CATEGORY&categoryId=184514,False,0,4.0,2.0,False,,착불배송,"['가구자재등급: E0', '쿠팡상품번호: 165306810 - 474060413']",[],
576,577,184614,리바트키친 블랑 다용도 수납장 상부세트 800,279000,258755621,https://www.coupang.com/vp/products/258755621?itemId=811097986&vendorItemId=5062987743&sourceType=CATEGORY&categoryId=184514,False,29,5.0,1.0,False,,0,['쿠팡상품번호: 258755621 - 811097986'],"['258777280', '258753502', '28846379', '258753355', '1829185223', '149463927', '5158586640', '258792506', '1504157686', '258876125', '258855934', '119479061', '258753624', '119478652', '258857586']",1.0
577,578,184614,"에라토 DIY 캐릭터 옷장 정리함 수납장, 02_공주 캐릭터 수납장 8칸 (핑크)",39900,245923122,https://www.coupang.com/vp/products/245923122?itemId=779472827&vendorItemId=4722840956&sourceType=CATEGORY&categoryId=184514,False,0,4.0,39.0,False,,0,['쿠팡상품번호: 245923122 - 779472827'],[],18.0
578,579,184614,"마켓비 PEMBA 책장 선반 6048H, 레드",125580,2105204753,https://www.coupang.com/vp/products/2105204753?itemId=3576392505&vendorItemId=74405739585&sourceType=CATEGORY&categoryId=184514,False,9,,,False,마켓비,0,['쿠팡상품번호: 2105204753 - 3576392505'],[],
579,580,184614,"[에타홈] 루아르 1200 베란다장 높은 아이방 안방 멀티 도어 거실 아파트 베란다 다용도실 수납장, 엘다",117390,5006511593,https://www.coupang.com/vp/products/5006511593?itemId=6698990250&vendorItemId=73992624017&sourceType=CATEGORY&categoryId=184514,False,37,,,False,,착불배송,['쿠팡상품번호: 5006511593 - 6698990250'],[],
580,581,184614,"[B.K]올리 300 오픈형 선반 수납장 오픈수납장 수납장 옷장 행거장 장농 이불장 서랍장 드레스룸 행거수납장 행거 틈새장, 화이트",66230,5284464977,https://www.coupang.com/vp/products/5284464977?itemId=7577795414&vendorItemId=74868326218&sourceType=CATEGORY&categoryId=184514,False,0,,,False,,착불배송,['쿠팡상품번호: 5284464977 - 7577795414'],[],
581,582,184614,"대신프라스틱 플라스틱박스 이사박스 플라스틱바구니 사각상자 운반상자, 51.운반상자9호 노랑(철고리포함)",26500,346083359,https://www.coupang.com/vp/products/346083359?itemId=1098740449&vendorItemId=5623061903&sourceType=CATEGORY&categoryId=184514,False,0,5.0,3.0,False,,착불배송,['쿠팡상품번호: 346083359 - 1098740449'],[],2.0
