,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
805,806,184625,"블랙 철제 다리 접이식 테이블 800 x 600 mm, 연두",72000,2138761262,https://www.coupang.com/vp/products/2138761262?itemId=3632255568&vendorItemId=71617831448&sourceType=CATEGORY&categoryId=184525,True,0,5.0,7.0,False,,0,['쿠팡상품번호: 2138761262 - 3632255568'],[],8.0
808,809,184625,"제이에스리빙 다용도 선반 진열대 진열장 이동식 바퀴 협탁 사이드 테이블 원목 엔틱 거실 쇼파 침실 베드 원룸 보조 수납장 간이 서랍장 바퀴 우드 W7899 48x30x62, 메리 협탁-우드",29700,2311233084,https://www.coupang.com/vp/products/2311233084?itemId=3986241667&vendorItemId=71970549333&sourceType=CATEGORY&categoryId=184525,False,25,4.5,2.0,False,,0,['쿠팡상품번호: 2311233084 - 3986241667'],[],2.0
809,810,184625,"[이케아] 60295928 TINGBY 팅뷔 이동식 보조테이블 화이트 50x50 cm, 상세 설명 참조",50700,1880123160,https://www.coupang.com/vp/products/1880123160?itemId=3194896577&vendorItemId=75285186807&sourceType=CATEGORY&categoryId=184525,False,0,5.0,1.0,False,이케아,0,"['인테리어 컨셉: 상세 설명 참조', '바퀴 유무: 상세 설명 참조', '수납가능여부: 상세 설명 참조', '접이 가능여부: 상세 설명 참조', '형태: 상세 설명 참조', '쿠팡상품번호: 1880123160 - 3194896577']",[],1.0
810,811,184625,"북유럽 벽 반원 창가 차키 테이블 복도 현관 트레이 침대틈새선반, 화이트 S",28000,1791666245,https://www.coupang.com/vp/products/1791666245?itemId=3048894915&vendorItemId=75991834341&sourceType=CATEGORY&categoryId=184525,False,15,5.0,1.0,False,,0,['쿠팡상품번호: 1791666245 - 3048894915'],[],1.0
812,813,184625,"꿈이있는나무 수납 협탁, 브라운",55800,66543427,https://www.coupang.com/vp/products/66543427?itemId=223628102&vendorItemId=3543092633&sourceType=CATEGORY&categoryId=184525,False,0,5.0,10.0,False,,"4,000","['재질: 원목', '사이즈: 395x300x585', '가로길이: 40cm', '색상계열: 브라운계열', '서랍 개수: 0', '쿠팡상품번호: 66543427 - 223628102']",[],1.0
813,814,184625,"베스트리빙 라운드 테이블, 랜덤",79000,1625296076,https://www.coupang.com/vp/products/1625296076?itemId=2772924974&vendorItemId=70762746727&sourceType=CATEGORY&categoryId=184525,True,0,5.0,1.0,False,베스트리빙,0,['쿠팡상품번호: 1625296076 - 2772924974'],[],1.0
814,815,184625,"가구마을 통원목 좌탁, W1200",159000,35015033,https://www.coupang.com/vp/products/35015033?itemId=130112989&vendorItemId=3272604120&sourceType=CATEGORY&categoryId=184525,False,0,4.5,25.0,False,,착불배송,['쿠팡상품번호: 35015033 - 130112989'],[],19.0
815,816,184625,"은혜가구 일자 접이식 테이블 1500x800 다용도 책상 공부 식탁, 그린+화이트다리",93900,155282922,https://www.coupang.com/vp/products/155282922?itemId=447521001&vendorItemId=4108704850&sourceType=CATEGORY&categoryId=184525,False,0,4.5,6.0,False,,착불배송,"['재질: 하이그로시', '사이즈: 1500x800', '가로길이: 150cm', '타입: 입식', '색상계열: 그린계열', '쿠팡상품번호: 155282922 - 447521001']",[],4.0
816,817,184625,"로아공방 접이식 액자 테이블 원형 길이조절 다리 L + 손잡이걸이, L+손잡이걸이, 원형 길이조절 화이트",30000,4387901612,https://www.coupang.com/vp/products/4387901612?itemId=5196984052&vendorItemId=74116444823&sourceType=CATEGORY&categoryId=184525,True,6,5.0,16.0,False,,0,['쿠팡상품번호: 4387901612 - 5196984052'],[],16.0
817,818,184625,"아트랙 노블-800 색상9종 거실테이블 소파테이블(상판유리포함, 화이트/화이트",65000,204410833,https://www.coupang.com/vp/products/204410833?itemId=601012227&vendorItemId=3176226723&sourceType=CATEGORY&categoryId=184525,False,13,4.0,5.0,False,아트랙,착불배송,['쿠팡상품번호: 204410833 - 601012227'],[],
818,819,184625,"프리메이드 스퀘어 티테이블 600 카페테이블, 화이트",35900,5359270025,https://www.coupang.com/vp/products/5359270025?itemId=7903365727&vendorItemId=75192742475&sourceType=CATEGORY&categoryId=184525,False,0,4.5,8.0,False,프리메이드,0,['쿠팡상품번호: 5359270025 - 7903365727'],[],5.0
819,820,184625,"모던 접이식 대나무 원형 테이블 65 x 62.8 cm, 혼합색상",95900,1853789338,https://www.coupang.com/vp/products/1853789338?itemId=3151071316&vendorItemId=71138651536&sourceType=CATEGORY&categoryId=184525,True,0,5.0,2.0,False,,0,"['형태: 원형', '쿠팡상품번호: 1853789338 - 3151071316']",[],2.0
820,821,184625,"소프시스 빌리테이블1260, 티크 판넬 + 화이트 프레임",38450,138659449,https://www.coupang.com/vp/products/138659449?itemId=432195306&vendorItemId=4065481986&sourceType=CATEGORY&categoryId=184525,True,29,4.5,90.0,False,소프시스,0,['쿠팡상품번호: 138659449 - 432195306'],[],18.0
821,822,184625,"뉴타임즈3 침대머리 선반 간이 수납 침대 옆 작은 가구 다용도 침실자물쇠 궤 A8, 10 GCM",52800,1468001775,https://www.coupang.com/vp/products/1468001775?itemId=2524627601&vendorItemId=75720123659&sourceType=CATEGORY&categoryId=184525,False,18,4.0,1.0,False,,0,"['인테리어 컨셉: 북유럽', '단 수: 1', '가로길이: 38', '색상계열: 화이트계열', '가구자재등급: SEO', '쿠팡상품번호: 1468001775 - 2524627601']",[],1.0
