,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
85,86,184600,"포메리트 러버 원목 스탠드 옷걸이 원형 A, 브라운",34090,4714989,https://www.coupang.com/vp/products/4714989?itemId=21451939&vendorItemId=3031258580&sourceType=CATEGORY&categoryId=184500,True,36,4.5,1725.0,False,포메리트,0.0,"['사이즈: 395 x 395 x 1750 mm', '재질: 고무나무 + 우레탄도장', '색상계열: 브라운계열', '높이: 1750mm', '인테리어 컨셉: 내추럴', '쿠팡상품번호: 4714989 - 21451939']",[],224.0
86,87,184600,"큐지오 틈새옷걸이 행거, 혼합 색상",7000,285999886,https://www.coupang.com/vp/products/285999886?itemId=906967126&vendorItemId=5271518770&sourceType=CATEGORY&categoryId=184500,True,0,4.0,99.0,False,,0.0,"['가로폭 조절 여부: 가로폭 조절가능', '쿠팡상품번호: 285999886 - 906967126']",[],71.0
87,88,184600,"조은세상 고무나무 스탠드 옷걸이, 사각B",31870,1594227363,https://www.coupang.com/vp/products/1594227363?itemId=2723631010&vendorItemId=70713829282&sourceType=CATEGORY&categoryId=184500,True,1,5.0,119.0,False,조은세상,0.0,['쿠팡상품번호: 1594227363 - 2723631010'],[],120.0
88,89,184600,"우리행거 모던 이동식 세로 2단 행거 W MB-02C, 블랙",23550,1727156224,https://www.coupang.com/vp/products/1727156224?itemId=2939534430&vendorItemId=70928100153&sourceType=CATEGORY&categoryId=184500,True,1,4.5,73.0,False,,0.0,"['가로 길이(최대): 135cm', '행거 종류: 스탠드/이동식', '바퀴 유무: 바퀴있음', '선반/서랍 여부: 선반/서랍 있음', '가로폭 조절 여부: 가로폭 조절가능', '쿠팡상품번호: 1727156224 - 2939534430']",[],73.0
91,92,184600,"[Champs] 업그레이드 고정식 행거(25mm), 아이보리 함마톤 분체도장",20660,3687618,https://www.coupang.com/vp/products/3687618?itemId=409499&vendorItemId=3000319348&sourceType=CATEGORY&categoryId=184500,True,1,4.0,6880.0,False,,0.0,"['사이즈: 2단(pd0078)', '재질: 철제', '색상계열: 화이트계열', '행거타입: 일반행거', '단 수: 2단', '쿠팡상품번호: 3687618 - 409499']",[],283.0
92,93,184600,"두리펀 아폴로 카트형 바지 행거 20p, 혼합 색상",29900,160469537,https://www.coupang.com/vp/products/160469537?itemId=460665362&vendorItemId=4144725915&sourceType=CATEGORY&categoryId=184500,True,66,4.5,186.0,False,두리펀,0.0,"['가로 길이(최소): 94.5cm', '행거 종류: 스탠드/이동식', '바퀴 유무: 바퀴있음', '선반/서랍 여부: 선반/서랍 있음', '쿠팡상품번호: 160469537 - 460665362']",[],87.0
93,94,184600,"대성 정품(국산)이동식튼튼행거2단~4단행거 스탠드옷걸이 고정식행거 고정식옷걸이 행거, 03.이동식315",29800,1396585344,https://www.coupang.com/vp/products/1396585344?itemId=2432006525&vendorItemId=70425941270&sourceType=CATEGORY&categoryId=184500,False,0,4.5,98.0,False,대성,0.0,"['가로 길이(최대): 150cm', '가로 길이(최소): 105cm', '행거 종류: 스탠드/이동식', '바퀴 유무: 바퀴있음', '가로폭 조절 여부: 가로폭 조절가능', '쿠팡상품번호: 1396585344 - 2432006525']",[],98.0
94,95,184600,"키모 스틸 수납행거 와이드 선반형, 블랙",57900,5232667953,https://www.coupang.com/vp/products/5232667953?itemId=2721869306&vendorItemId=70712158973&sourceType=CATEGORY&categoryId=184500,False,17,4.5,174.0,False,키모,0.0,"['가로 길이(최소): 117cm', '행거 종류: 스탠드/이동식', '선반/서랍 여부: 선반/서랍 있음', '쿠팡상품번호: 5232667953 - 2721869306']",[],177.0
95,96,184600,"룸앤홈 메종 멀티수납 행거, 화이트",27800,159888099,https://www.coupang.com/vp/products/159888099?itemId=459042761&vendorItemId=4139821286&sourceType=CATEGORY&categoryId=184500,True,53,4.5,144.0,False,룸앤홈,0.0,"['사이즈: 980 x 400 x 1360 mm', '재질: 철제', '색상계열: 화이트계열', '행거타입: 일반행거', '단 수: 3단', '쿠팡상품번호: 159888099 - 459042761']",[],53.0
96,97,184600,"제이픽스 아이언 철제 옷장 행거 800, 블랙",57700,201850409,https://www.coupang.com/vp/products/201850409?itemId=590671145&vendorItemId=4546767994&sourceType=CATEGORY&categoryId=184500,True,37,4.0,398.0,False,제이픽스,0.0,"['사이즈: 800 x 300 x 1625 mm', '재질: 철제', '색상계열: 블랙계열', '행거타입: 일반행거', '선반개수: 2개', '쿠팡상품번호: 201850409 - 590671145']",[],236.0
97,98,184600,"가화홈시스 폭조절 대용량 4단 4폴 선반행거 3SLB4040, 기둥(아이보리) + 부품(검정)",58060,205424089,https://www.coupang.com/vp/products/205424089?itemId=605086098&vendorItemId=4586166127&sourceType=CATEGORY&categoryId=184500,True,2,4.5,336.0,False,가화홈시스,0.0,"['지역 구분: 대구/경북 소상공인', '가로 길이(최대): 110cm', '가로 길이(최소): 75cm', '행거 종류: 설치형', '선반/서랍 여부: 선반/서랍 있음', '쿠팡상품번호: 205424089 - 605086098']",[],251.0
