,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
65,66,184606,"제이드 가구 콘솔 테이블 화장대 완제품 국산 슬림 거실 복도 마블 비앙코, 800 콘솔 28 골드",67500,5147901187,https://www.coupang.com/vp/products/5147901187?itemId=7069126659&vendorItemId=72356251003&sourceType=CATEGORY&categoryId=184506,False,22,3.5,17.0,False,제이드가구,0,['쿠팡상품번호: 5147901187 - 7069126659'],[],18.0
67,68,184606,"삼익가구 아이니 초대형 와이드 전신거울 600(거치대포함), 오크",50900,166990981,https://www.coupang.com/vp/products/166990981?itemId=478226363&vendorItemId=4200215818&sourceType=CATEGORY&categoryId=184506,False,43,4.5,16.0,False,삼익가구,착불배송,"['재질: MDF+PVC', '사이즈: 600x60x1700', '가로길이: 600mm', '스툴 유무: 스툴 없음', '거울 유무: 거울 있음', '쿠팡상품번호: 166990981 - 478226363']",[],12.0
68,69,184606,"특급배송 파로마 포스티 책장형 철제 수납화장대 600 화장대의자세트, 오크",82900,51993261,https://www.coupang.com/vp/products/51993261?itemId=183914254&vendorItemId=3005562072&sourceType=CATEGORY&categoryId=184506,False,35,4.0,47.0,False,파로마,착불배송,"['가구자재등급: E1', '스툴 유무: 스툴 있음', '가로길이: 600mm', '서랍 개수: 2개', '인테리어 컨셉: 내추럴', '쿠팡상품번호: 51993261 - 183914254']",[],29.0
69,70,184606,"엘로르 엔틱 원목 미니 슬림 콘솔 복도 현관 다용도 화장대 서랍장 700 900, 엘로르 1 그레이",98000,5350131029,https://www.coupang.com/vp/products/5350131029?itemId=7866479743&vendorItemId=75156103430&sourceType=CATEGORY&categoryId=184506,False,0,4.5,9.0,False,,"10,000",['쿠팡상품번호: 5350131029 - 7866479743'],[],9.0
70,71,184606,"[홈퍼니] 템포 미니 사각 서랍 화장대, 화이트",19900,127020884,https://www.coupang.com/vp/products/127020884?itemId=374690273&vendorItemId=3908098661&sourceType=CATEGORY&categoryId=184506,False,0,4.0,136.0,False,,0,"['재질: 합성목재', '사이즈: W300 x D250 x H315(mm)', '가로길이: 300mm', '스툴 유무: 스툴 없음', '거울 유무: 거울 있음', '쿠팡상품번호: 127020884 - 374690273']",[],36.0
72,73,184606,"예작퍼니처 지오 오픈형 화장대세트 YCN09, 화이트",137000,153432486,https://www.coupang.com/vp/products/153432486?itemId=442632596&vendorItemId=4096915843&sourceType=CATEGORY&categoryId=184506,False,0,4.0,26.0,False,,착불배송,"['가로길이: 900mm', '스툴 유무: 스툴 있음', '서랍 개수: 1개', '인테리어 컨셉: 모던/심플', '색상: 화이트', '쿠팡상품번호: 153432486 - 442632596']",[],25.0
74,75,184606,"레이아웃우드 피어스 엔틱 콘솔 1, 그레이",207560,1915041662,https://www.coupang.com/vp/products/1915041662?itemId=3251426056&vendorItemId=74154927026&sourceType=CATEGORY&categoryId=184506,False,0,4.5,104.0,False,,0,['쿠팡상품번호: 1915041662 - 3251426056'],[],101.0
75,76,184606,"[봉쥬르하우스] 콘솔, 블랙 사각(대)",169000,730162,https://www.coupang.com/vp/products/730162?itemId=2728008&vendorItemId=3004271584&sourceType=CATEGORY&categoryId=184506,False,0,4.5,72.0,False,,0,"['사이즈: 100 x 40 x 80 cm', '재질: 철제', '색상계열: 블랙계열', '상판형태: 일반형', '거울 유무: 거울 없음', '쿠팡상품번호: 730162 - 2728008']",[],24.0
77,78,184606,"보네르퍼니처 보네르 미니수납화장대, 네츄럴",36120,1019436,https://www.coupang.com/vp/products/1019436?itemId=4311042&vendorItemId=3005204799&sourceType=CATEGORY&categoryId=184506,True,7,4.0,162.0,False,,0,"['사이즈: 38x24x33 cm', '재질: 원목', '색상계열: 브라운계열', '상판형태: 상판오픈형', '거울 유무: 거울 있음', '쿠팡상품번호: 1019436 - 4311042']",[],20.0
79,80,184606,"[리센트] 미카엘 LED조명화장대, 전구색:주광색",219000,1825637047,https://www.coupang.com/vp/products/1825637047?itemId=3106312666&vendorItemId=71094078280&sourceType=CATEGORY&categoryId=184506,False,19,5.0,20.0,False,리센트,착불배송,"['가로길이: 1001mm', '스툴 유무: 스툴 없음', '조명 포함여부: 조명포함', '서랍 개수: 3개', '인테리어 컨셉: 모던/심플', '쿠팡상품번호: 1825637047 - 3106312666']",[],20.0
81,82,184606,"브노오 팬시 화장대, 화이트",138400,1694271098,https://www.coupang.com/vp/products/1694271098?itemId=2884433678&vendorItemId=70873526894&sourceType=CATEGORY&categoryId=184506,True,0,3.5,27.0,False,,0,"['가로길이: 700mm', '서랍 개수: 4개', '인테리어 컨셉: 클래식/엔틱', '색상: 화이트', '쿠팡상품번호: 1694271098 - 2884433678']",[],27.0
82,83,184606,"파로마 레일라 원목도장 화장대, 크림화이트",117250,4325915587,https://www.coupang.com/vp/products/4325915587?itemId=5041574901&vendorItemId=73193819848&sourceType=CATEGORY&categoryId=184506,True,1,3.5,9.0,False,파로마,0,"['스툴 유무: 스툴없음', '쿠팡상품번호: 4325915587 - 5041574901']",[],9.0
83,84,184606,"에카드 원목 콘솔 테이블, 월넛",59000,2170094327,https://www.coupang.com/vp/products/2170094327?itemId=3691437235&vendorItemId=71676758028&sourceType=CATEGORY&categoryId=184506,False,14,4.0,21.0,False,,0,"['인테리어 컨셉: 내추럴', '서랍 개수: 0', '가로길이: 900mm', '스툴 유무: 스툴 없음', '거울 유무: 거울 없음', '쿠팡상품번호: 2170094327 - 3691437235']",[],21.0
86,87,184606,"입식미니화장대 폭좁은 미니콘솔 수납 원룸 틈새 화장대, 화장대, x",55900,5205992395,https://www.coupang.com/vp/products/5205992395?itemId=7268426767&vendorItemId=74559823848&sourceType=CATEGORY&categoryId=184506,False,9,,,False,,착불배송,"['색상: 화이트', '인테리어 컨셉: 모던/심플', '거울 유무: 거울 있음', '색상계열: 화이트계열', '가구자재등급: E1', '쿠팡상품번호: 5205992395 - 7268426767']",[],
87,88,184606,"쉬몽 미러 플러스A 전신수납 화장대 거울, 화이트",78900,2306096631,https://www.coupang.com/vp/products/2306096631?itemId=3974842351&vendorItemId=71959175300&sourceType=CATEGORY&categoryId=184506,False,11,5.0,9.0,False,쉬몽,착불배송,"['가로길이: 400mm', '인테리어 컨셉: 모던/심플', '색상: 화이트', '쿠팡상품번호: 2306096631 - 3974842351']",[],9.0
88,89,184606,"틈새 북유럽 화장대 벨벳 좁은 사이즈 풀세트, 화이트 40",128300,1327496247,https://www.coupang.com/vp/products/1327496247?itemId=2350716416&vendorItemId=76090595003&sourceType=CATEGORY&categoryId=184506,False,0,4.0,6.0,False,,0,"['가로길이: 40cm', '스툴 유무: 스툴 있음', '조명 포함여부: 조명포함', '서랍 개수: 1개', '인테리어 컨셉: 모던/심플', '쿠팡상품번호: 1327496247 - 2350716416']",[],8.0
89,90,184606,"트루베퍼니처 라끄 시크릿 수납거울(수도권무료배송), 오크",70000,174086667,https://www.coupang.com/vp/products/174086667?itemId=497219289&vendorItemId=4264556747&sourceType=CATEGORY&categoryId=184506,False,50,4.5,16.0,False,트루베퍼니처,착불배송,"['인테리어 컨셉: 내추럴', '가로길이: 400mm', '색상: 브라운', '쿠팡상품번호: 174086667 - 497219289']",[],14.0
90,91,184606,"달리빙앤 프레아 4단서랍 목재상판(오픈형) 화장대, 화이트",129900,40043733,https://www.coupang.com/vp/products/40043733?itemId=146970153&vendorItemId=71327671707&sourceType=CATEGORY&categoryId=184506,False,0,4.5,103.0,False,,착불배송,"['상판형태: 일반형', '거울 유무: 거울 있음', '스툴 유무: 스툴 없음', '가로길이: 800mm', '서랍 개수: 4개', '쿠팡상품번호: 40043733 - 146970153']",[],14.0
