,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,인테리어,재질,사이즈,설치,색상,매트리스포함,침대 프레임
381,470,184562,"크렌시아 그레이스 LED 일반형 퀸 침대프레임 Q (매트제외), 화이트",144000,1968665155,False,34,5.0,9.0,False,크렌시아,착불배송,9.0,모던/심플,NULL,퀸,NULL,NULL,별도구매,NULL
382,471,184562,"알파침대 클레어 LED 수납 침대프레임 SS (매트리스 별도), 화이트",218000,1553003274,False,33,4.5,6.0,False,알파침대,착불배송,6.0,NULL,합성목재,NULL,NULL,NULL,별도구매,수납형
383,472,184562,"[전국무료배송] 명품의료기 205S 싱글 황토볼 흙침대, 브라운",436170,4364267994,False,7,4.0,6.0,False,,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
384,473,184562,"[트윈스몰] 휴대용 폴딩 침대의자 (모던/와이드) 캠핑의자 간이침대 야전침대 접이식 침대, 그레이",49900,5391864169,False,0,4.5,5.0,False,,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
385,474,184562,"하루06 호텔침대 (매트포함) 3colors 슈퍼싱글/퀸, 슈퍼싱글SS 오크, 본넬매트리스",229000,5337506694,False,50,,,False,크라운퍼니쳐,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
386,475,184562,"씨에카 접이식 매트리스 튼튼한 침대프레임 간편 휴대용 마약침대 캠핑, 접이식침대 네이비",48300,5281675005,False,0,5.0,4.0,False,디월스,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
387,476,184562,젠티스 저상형 스퀘어 헤드업 침대 패밀리 그레이 + 매트리스 S9 방문설치,597100,4711733330,True,0,5.0,1.0,False,젠티스,0,1.0,NULL,NULL,NULL,방문설치,NULL,NULL,NULL
388,479,184562,"안녕마켓 멀티 각도조절 접이식 노트북 원목 테이블, 혼합색상",24330,4805610543,True,0,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
389,480,184562,"[단독최적가!] 베드리움 와이드 빅수납침대 슈퍼싱글-매트리스 옵션, 그레이",199000,1082743749,False,47,4.0,8.0,False,베드리움,착불배송,8.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
390,481,184562,"아리아퍼니쳐 Stanford 수납형 슈퍼싱글 침대 평상형 계단식 침대(계단포함), 본품",339900,5227734096,False,33,5.0,3.0,False,,착불배송,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
391,483,184562,"유니드 뉴하우스 원목 2단침대, 화이트워시",389000,196169947,False,0,4.5,41.0,False,,착불배송,23.0,내추럴,원목,NULL,NULL,NULL,NULL,NULL
392,484,184562,"효원해품돌침대 착불상품 기획한정상품 드림700퉁구리싱글.퀸선택 황토숯볼 일괄배송 흙침대, 드림002퉁구리싱글",330000,4712171034,False,61,5.0,3.0,False,,착불배송,2.0,NULL,원목,1인용,NULL,NULL,NULL,NULL
393,485,184562,"일루일루 코모드i 올인원 책상형 벙커침대, 아이보리 프레임만구입",202000,289422708,False,0,4.0,56.0,False,일루일루,"50,000",31.0,NULL,철제,232x130x187cm,NULL,화이트,NULL,NULL
394,488,184562,"동원퍼니처 무헤드 천연 원목 평상 침대 프레임 만들기 마루 수납 벙커 어린이 놀이방, 무도색 싱글, 200mm",195000,2235277925,False,0,5.0,10.0,False,,착불배송,10.0,NULL,원목,싱글,NULL,NULL,NULL,오픈형
395,489,184562,라꾸라꾸 라꾸라꾸침대 슈퍼싱글(럭셔리) 1인용 보관커버(사은품증정) 등받이각도조절 접이식침대,202600,4354081837,False,0,4.0,25.0,False,라꾸라꾸,0,7.0,NULL,NULL,슈퍼싱글,NULL,NULL,NULL,NULL
396,490,184562,수도권당일배송가능 2모터의료용 병원용 환자용 전동침대 의료용침대,633000,318076976,False,0,5.0,3.0,False,밀알,"90,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
397,491,184562,"삼익가구 [삼익가구]로사 3인용 가죽 접이식 소파베드, 그레이",179900,166984346,False,37,4.0,18.0,False,삼익가구,착불배송,15.0,NULL,인조가죽,1650x870x770,NULL,NULL,NULL,NULL
398,492,184562,"이케아 TARVA 싱글침대 프레임+매트리스 풀세트, 우드_691.984.71",327600,49115773,False,0,5.0,2.0,False,이케아,0,,NULL,NULL,싱글,NULL,브라운,매트리스포함,NULL
