,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
33,47,184615,"제이에스리빙 침대 협탁 원목 엔틱 우드 사이드 테이블 원룸 침실 거실 보조 간이 선반 노트북 좌식 미니 수납장 베드 쇼파 다용도 이동식 바퀴 2단 3단 H3105 60x30x60, 화이트",34900,1946841237,False,29,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL
34,48,184615,"아이리스 포미 사이드 테이블 협탁수납장 IWST-300, 애쉬브라운",33800,1379168028,False,0,4.0,99.0,False,아이리스,0,91.0,NULL,NULL,NULL,NULL
35,49,184615,"파로마 아도니스 서랍 협탁, 그레이",48000,4570447924,True,0,2.0,14.0,False,파로마,0,14.0,NULL,NULL,NULL,NULL
36,50,184615,"앳홈 스퀘어 미니 협탁, 블랙",24290,220852392,True,0,4.0,14.0,False,앳홈,0,4.0,NULL,NULL,NULL,NULL
37,51,184615,"윈디 투서랍 원목 협탁 CNM059C, 화이트",34900,1862943833,False,78,4.5,17.0,False,나무뜰,착불배송,17.0,NULL,NULL,NULL,NULL
38,52,184615,"런메이크 (50%할인) 사이드테이블 협탁 모음-침대수납 미니쇼파, 02. 모던 협탁-블랙",19900,100412079,False,0,4.0,31.0,False,,"3,000",19.0,NULL,NULL,NULL,NULL
39,53,184615,"앳홈 스퀘어 협탁 중형, 원목",37900,1248184941,True,0,4.5,10.0,False,Athome,0,9.0,NULL,NULL,NULL,NULL
40,55,184615,"비에스디자인 국내제작 포코 투서랍형 협탁, 실버그레이",40000,279358736,False,0,4.5,74.0,False,비에스디자인,착불배송,72.0,NULL,NULL,NULL,NULL
41,56,184615,"푸른우드 원목 미니 침대협탁 소노클린원목 협탁, 소노클린PB",40000,167218686,False,20,4.5,48.0,False,,"5,000",24.0,W400D300H350,블랙액그레이,합성목재,NULL
42,57,184615,이케아정품 KNARREVIK 협탁 보조테이블 미니테이블 침대협탁,18900,2140944633,False,0,4.0,12.0,False,이케아,착불배송,12.0,37cm x 28cm x 45cm,블랙,철제,모던/심플
43,58,184615,"이케아 NESNA 침대협탁, 대나무",22800,1063668,False,0,4.0,349.0,False,,착불배송,22.0,36 x 35 x 45 cm,베이지,원목,NULL
44,59,184615,"에스엔가구 3단 협탁, 옹이엔틱",37900,1316795582,False,0,4.5,80.0,False,,0,75.0,NULL,NULL,NULL,NULL
45,60,184615,"노아가구 동동 협탁, 화이트",20900,3939561,True,0,4.0,287.0,False,노아가구,0,82.0,40 x 31 x 40 cm,화이트,합성목재,NULL
46,62,184615,"YOU&ME 심플 침대협탁 서랍장 1단 오픈형 CTG001, 블루",35800,1566154403,True,0,3.5,46.0,False,,0,46.0,NULL,NULL,NULL,NULL
47,63,184615,"제우스가구 트랜드 미니 협탁, 화이트그레이",21900,4841483361,True,0,3.5,8.0,False,,0,8.0,400 x 340 x 480 mm,NULL,NULL,NULL
48,65,184615,"원목 강화유리 협탁, 블랙",21000,1566220485,True,3,2.0,5.0,False,,0,4.0,NULL,NULL,NULL,NULL
49,67,184615,"제이디퍼니처 고급 3단 서랍형 협탁, 아카시아",31240,1486603,True,16,4.0,904.0,False,제이디퍼니처,0,88.0,400 x 370 x 565 mm,브라운,합성목재,NULL
50,68,184615,휘게리퍼니쳐 헤닝센 멀바우 협탁 600,59000,235117325,False,45,4.5,13.0,False,,착불배송,9.0,600,브라운,합성목재,NULL
51,70,184615,"까사레브 모리 협탁, PU가죽 그레이",103900,1492080045,True,0,4.5,31.0,False,까사레브,0,26.0,NULL,NULL,NULL,NULL
52,75,184615,"제이픽스 강화유리 원목 좌식 테이블 750, 내추럴",34900,1857617993,True,12,4.0,5.0,False,제이픽스,0,5.0,NULL,NULL,NULL,NULL
53,76,184615,"가구데코 소호 2단서랍 침대 협탁 NA0226, 그레이",45000,1820739888,False,43,4.5,4.0,False,가구데코,0,4.0,NULL,NULL,NULL,NULL
54,77,184615,"㈜아이리스코리아 시스템 스탁 공간박스 STB-400T, 베이지",11610,6047351,True,16,4.5,224.0,False,,0,53.0,40 x 28.7 x 30.5 cm,베이지,합성목재,NULL
55,78,184615,"미곳간 철제2단협탁 다용도테이블 사이드협탁 거실 협탁, 소노클린(PB)",40000,107009764,False,20,4.5,34.0,False,,"5,000",9.0,400*300*350,멀티(혼합)컬러,합성목재,NULL
56,79,184615,"침대옆 선반 협탁 온수매트 미니 좁은 낮은 우드 서랍장 침대 수납장, 화이트",16700,2349113056,False,0,4.5,3.0,False,,"10,000",3.0,NULL,NULL,NULL,NULL
57,80,184615,"라탄협탁 침대옆선반 원목 침대 협탁, 브라운",23500,1328182352,False,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL
58,81,184615,"앳홈 스퀘어 협탁 중형, 블랙",32900,1287649158,True,5,4.0,21.0,False,Athome,0,16.0,NULL,NULL,NULL,NULL
59,82,184615,"그라지에가구 벨라 협탁, 도어형, 네이비",55900,2111576684,False,23,4.5,21.0,False,,착불배송,21.0,NULL,NULL,NULL,NULL
60,83,184615,"아이리스코리아 1인 가구 포미시리즈 사이드테이블 협탁 WST-300, 오프화이트",27720,4745177655,True,30,5.0,2.0,False,아이리스,0,2.0,NULL,NULL,NULL,NULL
61,84,184615,제이에스리빙 침대 협탁 침대옆 원목 우드 엔틱 사이드 테이블 간이 보조 서랍장 수납장 미니 선반 거실 침실 원룸 정리함 다용도 열쇠 2단 3단 W887 36x30x48,29700,1888353823,False,23,2.5,5.0,False,,0,5.0,36*30*48,우드,MDF,내추럴
62,85,184615,"핸즈퍼니쳐 리치 높은 2단 협탁, 화이트",20800,9646668,True,0,4.0,144.0,False,,0,45.0,400 x 400 x 340 mm,화이트,합성목재,NULL
63,86,184615,"삼익가구 노스 침대전용 원목 협탁, 그레이",73900,127375650,False,61,5.0,4.0,False,삼익가구,0,3.0,500x400x470,그레이,원목,NULL
64,87,184615,"제이에스리빙 침대 협탁 원목 사이드 테이블 침대옆 엔틱 간이 보조 침실 거실 선반 서랍장 수납장 베드 쇼파 다용도 2단 3단 사각 L9855 46x30x36, 빈티지블루",23700,1950298104,False,52,3.5,9.0,False,,0,9.0,NULL,NULL,NULL,NULL
65,89,184615,"마티노가구 클리어 원목 2단 협탁, 그레이",38000,1654002480,False,45,4.0,27.0,False,마티노가구,착불배송,27.0,NULL,그레이,NULL,모던/심플
66,97,184615,"[이케아] NESNA 네스나 협탁, 색상:비카 NESNA 네스나 협탁",22080,326112707,False,46,4.0,106.0,False,이케아,0,22.0,NULL,NULL,NULL,NULL
67,98,184615,"제이에스리빙 침대 침대옆 사이드 테이블 다용도 진열대 진열장 보조 수납장 간이 서랍장 미니 선반 베드 쇼파 거실 원룸 원목 우드 엔틱 공간 활용 Q1477 60x43x27, 코코 선반 협탁(우드)",29500,1950009394,False,40,3.0,8.0,False,,0,8.0,NULL,우드,NULL,내추럴
68,99,184615,"L22BOM 골드라인 사각 2단 협탁 2타입 2컬러 골드협탁 예쁜협탁 북유럽협탁 화이트협탁 침실협탁 침대협탁, 블랙B타입",87800,283363480,False,0,4.5,9.0,False,,0,8.0,NULL,NULL,NULL,모던/심플
69,100,184615,이케아 홀 원목 보조테이블 다용도 수납테이블 거실 침실 서재 간이 협탁 베란다,59800,2269382766,False,0,5.0,6.0,False,,착불배송,6.0,NULL,NULL,NULL,NULL
70,102,184615,"마켓비 POLABO 협탁 4762 CAM6247, 캄포어베니어",93830,1937344821,True,1,4.5,4.0,False,마켓비,0,4.0,NULL,NULL,NULL,NULL
71,103,184615,"국내제작 포코 투서랍형 3단 협탁 침대 협탁 사이드 테이블, 화이트",55000,5320548023,False,26,4.5,3.0,False,비에스디자인,착불배송,3.0,NULL,NULL,NULL,NULL
72,104,184615,"인디우드 루나 골드 거실 침대 옆 미니 틈새 협탁, 네이비",79900,4609810380,False,19,5.0,3.0,False,인디우드,0,3.0,NULL,네이비,NULL,모던/심플
73,105,184615,"마켓비 TOSAR 협탁 TBM7046, 캄포어베니어",64600,1255765319,False,5,5.0,18.0,False,마켓비,0,18.0,NULL,NULL,NULL,NULL
74,106,184615,"노아가구 단단협탁 북유럽협탁 침대옆협탁, 단단3단화이트",28900,281601092,False,0,4.5,3.0,False,노아가구,착불배송,3.0,40,NULL,합성목재,NULL
75,108,184615,"앳홈 유리형 미니 협탁, 블랙(AT-10012)",28400,216202097,False,36,4.0,11.0,False,앳홈,0,8.0,NULL,NULL,NULL,모던/심플
76,109,184615,"룸앤홈 라인 수납 테이블 L 협탁, 화이트",31740,19918896,True,26,4.5,103.0,False,룸앤홈,0,27.0,L,화이트,철제,NULL
77,110,184615,"에몬스홈 로코 원목도장 평상형 협탁, 크림화이트",129000,207569049,True,0,5.0,12.0,False,에몬스홈,0,10.0,NULL,NULL,NULL,NULL
78,111,184615,"베스트리빙 모던 클래식 협탁, 엔틱브라운",118000,4757268680,True,0,,,False,베스트리빙,0,,NULL,NULL,NULL,NULL
79,112,184615,"포스트모던 본 2단 원목 침대 협탁 수납장, 내추럴",29900,5057599631,False,25,5.0,1.0,False,포스트모던,0,1.0,NULL,NULL,NULL,NULL
80,113,184615,"레이디가구 마호가니 비바 엔틱st 협탁 콘솔, 09. 드레서 옷걸이",79900,2076825207,False,57,4.5,4.0,False,레이디가구,착불배송,4.0,NULL,NULL,NULL,NULL
81,114,184615,"침대옆선반 이케아 좁은 미니테이블 협탁, AC_기본",51200,1565562142,False,0,4.0,6.0,False,,0,6.0,NULL,NULL,NULL,NULL
82,116,184615,"인디우드 로제 골드 미니 서랍 협탁, 네이비",119000,2050565835,False,37,4.5,13.0,False,인디우드,착불배송,13.0,NULL,네이비,NULL,북유럽
83,117,184615,"북유럽 심플 모던 미니 협탁 침대 거실 협탁 티테이블 사이드테이블, 30 x 30 x 32 흰색",12490,2046635150,False,50,3.5,7.0,False,,0,7.0,NULL,NULL,NULL,NULL
84,119,184615,"국내제작 포코 투서랍형 1단 협탁, 화이트",34000,5320442880,False,30,,,False,비에스디자인,착불배송,,NULL,NULL,NULL,NULL
85,120,184615,"애모씨오가구 홀2단협탁 라운드 400 2단서랍형 미니협탁, 홀2단올오크",26900,281601828,False,0,4.5,2.0,False,,착불배송,1.0,NULL,NULL,NULL,NULL
86,121,184615,협탁 침대 거실 쇼파 블랙 거실테이블 철제협탁 미니 2단 선반,23800,2344805339,False,0,5.0,3.0,False,,0,3.0,NULL,NULL,NULL,NULL
87,122,184615,"SL겔러리 원목 협탁 침실 다용도 브라운 화이트, 04]디아2단-엔틱",110000,2380112829,False,0,4.0,10.0,False,,0,10.0,NULL,브라운,NULL,NULL
88,123,184615,"제이에스리빙 협탁 침대 사이드 테이블 쇼파 베드 침실 원룸 거실 미니 선반 다용도 진열대 진열장 보조 서랍장 수납장 간이 다용도 이동식 K4468 60x40x60-89, 메이플",25800,1942628729,False,35,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL
89,125,184615,"침대 옆 테이블 선반 DIY 협탁 침대 옆 탁자 서랍 수납장 침대협탁 선반, M + A",32300,4320759028,False,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL
90,127,184615,"시스루엠 어반 스톡 캐비닛 협탁, 블랙",39700,100468149,False,24,3.5,5.0,False,,0,5.0,350x350x510mm,블랙,철제,NULL
91,128,184615,"예다움 침대 사이드 테이블 협탁 콘솔 침실 간이 보조 핸드폰 서랍/수납장>>협탁, 01.하노버 다용도 선반 3단:화이트 (B0260)",22900,96070503,False,0,4.0,111.0,False,예다움,0,6.0,NULL,NULL,NULL,모던/심플
92,132,184615,"앳홈 원목 미니 협탁 소형, 화이트",24900,220852399,True,0,5.0,2.0,False,Athome,0,1.0,NULL,NULL,NULL,NULL
93,133,184615,"침대협탁 침대 옆 미니 원목 대리석 협탁 선반 옆 테이블 심플 모던 미니 소형, 어셈블리, 【메인 그림 싱글 드로우】 20 34 70cm",60500,4668340381,False,0,3.5,2.0,False,,0,2.0,NULL,NULL,NULL,NULL
94,134,184615,"마스터즈 거실 침실 미니 침대 옆 사이드 쇼파 테이블 협탁, 1번 소형 사각 테이블(34x26cm)",8200,1717615417,False,0,3.5,3.0,False,,"6,000",3.0,NULL,NULL,NULL,NULL
95,135,184615,"마켓비 MKB 캐비넷 협탁 350510, 화이트",50630,1137747,False,3,4.5,389.0,False,마켓비,0,52.0,35 x 35 x 51 cm,화이트,철제,NULL
96,136,184615,"침대옆 선반 협탁 미니 낮은 현관 소파 수납장 틈새 좁은 얇은, 100x30x60 화이트",94500,2264674330,False,34,5.0,2.0,False,,"20,000",2.0,NULL,NULL,NULL,NULL
97,137,184615,"제이에스리빙 거실 침실 엔틱 보조 간이 선반 미니 서랍장 이동식 공간 활용 원룸 쇼파 베드 다용도 바퀴 침대 협탁 침대옆 사이드 테이블 H6698 60x30x60, 테디 바퀴 협탁(화이트)",34500,1950070041,False,30,4.0,5.0,False,,0,5.0,NULL,화이트,"MDF, PP",모던/심플
98,139,184615,"마켓비 PUTONI 원목협탁 4840 고무나무, 혼합 색상",115900,1201788569,False,5,5.0,7.0,False,마켓비,0,6.0,NULL,NULL,NULL,NULL
99,141,184615,다니엘우드 원목 미니탁자 침대협탁 수납스툴 선반장 책꽂이 원룸가구 협탁,39900,1214120503,False,30,5.0,32.0,False,다니엘우드,착불배송,25.0,400x305x420mm,NULL,원목,내추럴
100,143,184615,"마켓비 TOSAR 협탁 TBM7046, 블랙",64700,1946773482,True,0,5.0,4.0,False,마켓비,0,4.0,NULL,NULL,NULL,NULL
101,144,184615,"바니가구 스타 2단 협탁, 화이트W",38900,42062094,False,0,4.5,32.0,False,,0,13.0,가로440깊이360높이510,화이트,MDF,NULL
102,145,184615,"파로마 아이리스 원목도장 강화유리 사각 협탁 사이드테이블, 네추럴",39900,5237904110,True,0,5.0,3.0,False,파로마,0,3.0,NULL,NULL,NULL,NULL
103,146,184615,"동서가구/착불 라떼 800 2단 서랍장 DF918463, 멀바우",54900,4322589700,False,27,3.5,3.0,False,동서가구,착불배송,3.0,NULL,NULL,NULL,NULL
104,147,184615,"포레스트 빗살원목 2단 침대협탁 수납 거실협탁, 포레스트 원목 빗살 2단 협탁",89000,2171021785,False,31,4.5,6.0,False,,착불배송,6.0,NULL,NULL,NULL,NULL
105,148,184615,"하늘비즈/ 협탁 심플 모던 침실 수납장 컴팩트한 베드사이드 멀티 기능캐비닛 XZ48 A22, 01 화이트",19850,2156752287,False,0,3.5,10.0,False,,0,10.0,NULL,화이트,원목,모던/심플
106,150,184615,"HY 침대머리 가정용 거실 선반 쏘파 옆 침대의 침대 가장자리에는 서랍이 달려 작은 찬장을 수납한다 A8, GCM",31000,1468004788,False,11,3.0,21.0,False,다소미얼,0,21.0,NULL,블랙,합성목재,북유럽
107,151,184615,"마켓비 TRODY 사이드테이블, 블랙브라운",67900,5149329,False,0,4.0,307.0,False,마켓비,0,51.0,45 x 40 x 50 cm,브라운,철제,NULL
108,153,184615,"제이에스리빙 다용도 선반 진열대 진열장 이동식 바퀴 협탁 사이드 테이블 원목 엔틱 거실 쇼파 침실 베드 원룸 보조 수납장 간이 서랍장 바퀴 우드 W7899 48x30x62, 메리 협탁-우드",29700,2311233084,False,25,4.5,2.0,False,,0,2.0,NULL,NULL,NULL,NULL
109,154,184615,"꿈이있는나무 수납 협탁, 브라운",55800,66543427,False,0,5.0,10.0,False,,"4,000",1.0,395x300x585,브라운,원목,NULL
110,155,184615,"뉴타임즈3 침대머리 선반 간이 수납 침대 옆 작은 가구 다용도 침실자물쇠 궤 A8, 10 GCM",52800,1468001775,False,18,4.0,1.0,False,,0,1.0,NULL,화이트,NULL,북유럽
111,156,184615,"큐빅스1 컬러협탁A, 화이트",36290,128899222,True,31,4.0,63.0,False,큐빅스,0,17.0,NULL,NULL,NULL,모던/심플
