,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,바퀴,단
229,278,184614,"서진퍼니처 800 1200돌체기본형 높은거실장 티비다이, 800 브라운",100000,1652782180,False,30,4.0,4.0,False,,착불배송,4.0,NULL,NULL,NULL,모던/심플,바퀴없음,NULL
230,279,184614,"호산나몰 봉헌함 기독교백화점, 오크",105000,306135141,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
231,280,184614,"주방수납장 서랍식 수납장 사무실 문서 데이터 문서수납장 원목 다층 나무재질 오던심플 캐비닛, C01-300mm, T09-잠금수납장 화이트색 37",363300,5422646583,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL
232,282,184614,"욕실수납장 욕실 방수 캐비닛 스탠드식 수납대 세면대 틈새 수납장 u0028 ., T13-더블도어 타입 75높이 26넓이 25깊이",53700,5501114496,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL
233,283,184614,"힘찬리빙 럭스 600 냉장고형 긴문 수납장, 럭스 600 냉장고형 서랍 수납장(그레이)",129900,1396564992,False,35,,,False,,착불배송,,(W)600x(D)400x(H)1610 단위(mm),NULL,합성목재,모던/심플,바퀴없음,5단
234,284,184614,"빈티지 우드 쇼케이스 원목 미니수납장 3종, 유리 서랍단추-구색 만들기",17800,4545092098,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
235,285,184614,"2단 이동식 트롤리 모던 사이드 테이블 원형이동식정리함 이동식트롤리 이동식트레이 이동식카트 주방카트 이동식수납선반 정리선반 이동형선반 화분선반 사이드테이블 무빙카트 바귀달린선반 원목 우드, 원형-화이트 트롤리",43900,5526364202,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
236,286,184614,"설치가 간편한 무타공 접착식 부착식 붙이는 책상 밑 슬라이딩 서랍 수납함 정리함 시크릿 서랍 매직 서랍, 중",10950,5410190697,False,0,,,False,,"2,750",,NULL,NULL,NULL,NULL,NULL,NULL
237,287,184614,이케아 파도 탁상스탠드 [화이트] 302.838.99,32900,238482398,False,43,3.0,1.0,False,이케아,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
238,288,184614,"상도가구 케렌시아 패브릭 수납장 2단 Q46, 그레이",24210,5294303489,True,19,,,False,,0,,45 x 30 x 51 cm,NULL,패브릭,NULL,NULL,NULL
239,289,184614,"컴퓨터 본체 받침대 프린터 선반 트레이 받침 보관 PC 바퀴 수납장, A타입 화이트 L",40900,5464832959,False,23,,,False,,"12,000",,NULL,NULL,NULL,NULL,NULL,NULL
240,290,184614,"데코 올패스 스텐 다용도 수납정리대 3단 대, 없음",54900,286901105,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
241,293,184614,"즐거운가구 레이첼 틈새장 선반 행거 600, 화이트",66860,5137416031,False,22,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
242,294,184614,"심플 다층 선반 다용도 모서리 선반 코너장 프레임, 해시기ckse68 3 층 반경 32 높이 92",56630,234442890,False,0,,,False,,"9,600",,NULL,NULL,NULL,NULL,NULL,NULL
243,295,184614,"[바보사랑] 델라카사 철제 프레임 타공판 1200x600 투톤조합, 색상:(프레임)멜란지그레이-(타공판)화이트",68200,304165254,False,0,,,False,바보사랑,0,,NULL,NULL,NULL,NULL,NULL,NULL
244,296,184614,"심플 거울 화장대 책장 틈새 서랍 수납장, 핑크",117030,4357808703,False,17,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
245,297,184614,일상공감 차곡차곡 옷장트레이 8세트 (40P),51800,5492395194,False,0,,,False,일상공감,0,,NULL,NULL,NULL,NULL,NULL,NULL
246,298,184614,"천타몰_마켓비 POLABO 3문 수납장 17075 CAM75170 캄포어베니어+ A Good Choice, 바로이상품",367270,4781900820,False,10,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
247,299,184614,"스토리홈 하임 양문 수납장 600x1800, 화이트",130960,2045994049,False,0,,,False,,"2,500",,NULL,NULL,NULL,NULL,NULL,NULL
248,300,184614,"아리아퍼니쳐 엔틱 콘솔장 JG-15009, 본품",94900,5227600369,False,44,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
249,301,184614,"아리아퍼니쳐 엔틱 장식장 JG-15003, 본품",142400,5227601552,False,44,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
250,302,184614,"플라스틱수납장 50/58/66cm서랍식 수납장 옷장 플라스틱 캐비닛, C11-66블루, T01-3개",127600,2312004315,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL
