,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,가로길이,형태
108,129,184674,"베스트리빙 *6만세트 누적판매 상품* 캔버라 제시 4인 식탁세트(벤치형/의자2개 + 벤치), 월넛",199000,5017782084,False,50,4.5,174.0,False,베스트리빙,"30,000",175.0,식탁-1200*750*750/의자-480*487*840/벤치-965*460*630(mm),NULL,NULL,NULL,NULL,NULL
109,130,184674,"리바트 토핑 체어 (1+1), 그레이",77940,1925006596,False,35,5.0,34.0,False,리바트,0,35.0,NULL,NULL,NULL,NULL,NULL,NULL
110,132,184674,"제우스가구 챠밍800 수납장, 화이트",28800,50643505,False,0,4.0,272.0,False,,착불배송,104.0,NULL,NULL,NULL,내추럴,NULL,NULL
111,134,184674,"가온 액자 테이블 특대, 야자수잎B",30900,1555938039,False,0,5.0,158.0,False,,0,159.0,NULL,NULL,NULL,NULL,NULL,NULL
112,135,184674,"베스트렉 A122 발걸이형 홈바의자 아일랜드 식탁의자 높은의자, 블랙",29900,285449259,False,0,4.5,243.0,False,베스트렉,0,231.0,NULL,블랙,인조가죽,NULL,NULL,NULL
113,136,184674,"다용도상 미니, 대청마루",13080,25502366,True,17,4.5,1040.0,False,포메리트,0,267.0,510 x 380 x 270mm,브라운,합성목재,NULL,510mm,직사각형
114,138,184674,"룸앤홈 쁘띠 키즈테이블, 카우",13610,1676589425,True,8,4.5,203.0,False,룸앤홈,0,32.0,575 mm X 476 mm X 255mm,화이트,합성목재,NULL,NULL,직사각형
115,139,184674,"홈스몰 원목전자렌지대 3단, 우드",31900,2570790,True,0,4.0,206.0,False,,0,112.0,600 x 395 x 800 mm,베이지,원목,NULL,600mm,NULL
116,140,184674,"스토리퍼니쳐 스퀘어 5단높이조절 LPM테이블 대형 800, 화이트",22500,255914988,True,0,5.0,86.0,False,스토리퍼니쳐,0,85.0,NULL,NULL,NULL,NULL,NULL,NULL
117,141,184674,"레몬트리 LPM 심플 타원형 접이식테이블, 마블클래식",24800,1885220528,True,0,4.5,153.0,False,,0,153.0,800 x 600 mm,NULL,NULL,NULL,NULL,타원형
118,142,184674,남원목기공예 고급 향로상,50000,1760939,False,0,4.5,702.0,False,,0,192.0,45 x 33 x 21.5 cm,브라운,합성목재,NULL,45cm,직사각형
119,143,184674,솔로리빙 심플 렌지대 전자렌지 화이트 에어프라이어 수납장 밥솥 주방정리 다용도수납 틈새장,51750,5079262383,False,21,4.0,61.0,False,솔로리빙,착불배송,62.0,NULL,NULL,NULL,NULL,NULL,NULL
120,144,184674,철물코리아 서랍레일 볼레일 레일-3단볼레일(날개형) 400,2820,11092113,True,0,4.5,749.0,False,,0,114.0,NULL,그레이,철제,NULL,NULL,NULL
121,146,184674,"스칸디무드 쿠스토 이동식 확장형 접이식 식탁 테이블, 오크화이트",129000,1493459482,False,57,4.5,362.0,False,,착불배송,359.0,NULL,NULL,NULL,NULL,NULL,NULL
122,147,184674,"뽀로로 공부 캐릭터상, 사진찍기",17470,7311600,True,2,4.5,550.0,False,뽀로로,0,113.0,600 x 480 x 260 mm,그린,PP,NULL,600mm,직사각형
123,148,184674,"리벤스 전자레인지 수납장 선반 3단, 화이트",23900,29449598,True,19,4.0,1663.0,False,리벤스,0,304.0,54 x 34 x 80 cm,화이트,철제,NULL,54cm,NULL
