,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,행거 종류,행거 타입,거울
570,675,184600,"홈앤하우스 옷장 안 선반행거 대 1단 + 소 2단 세트, 아이보리",11070,235335,True,30,4.0,374.0,False,홈앤하우스,0,50.0,30 x 30 x 86cm,화이트,PP,NULL,NULL,NULL,NULL
571,676,184600,"코코디피 옷가게 의류매장용 용접형 옷걸이 미니행거 소형 헹거 튼튼한 철제 이동식 행거, ① 검정색",32900,27621944,False,0,5.0,13.0,False,,"10,000",1.0,별도표기,NULL,철제,NULL,NULL,NULL,거울 없음
572,679,184600,"고무나무 사각A 원목 스탠드 옷걸이, 브라운",25930,1837511083,True,0,4.5,8.0,False,,0,8.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
573,680,184600,"이동형 사다리행거, 사다리행거 이동형 600",35000,4501307811,False,0,4.0,20.0,False,신화리빙,0,20.0,NULL,NULL,NULL,NULL,스탠드/이동식,NULL,NULL
574,681,184600,"넘버원 폴 행거, 화이트",17800,4562663697,True,0,,,False,,0,,NULL,NULL,강철/철제,NULL,NULL,NULL,NULL
575,682,184600,"아이리스 플라스틱 4단 행거 서랍장 중형, 화이트",67410,53371978,True,35,4.5,25.0,False,아이리스,0,12.0,56 x 41.5,화이트,PP,NULL,NULL,NULL,NULL
576,684,184600,"리베 스마트 폴딩 드레스룸 행거 1+1, 브라운 1+1",125130,4637849733,False,3,4.0,5.0,False,,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
577,685,184600,"제니유 타이탄 튼튼 자전거 거치대 2단 38mm, 화이트",41800,4760704188,True,0,1.0,1.0,False,제니유,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
578,686,184600,"왕자행거 네오스페이스 어바웃드레스룸 3P 커튼형행거, 어반그레이(752-CG)",78660,113855180,False,0,4.5,71.0,False,왕자행거,0,16.0,NULL,NULL,NULL,모던/심플,NULL,NULL,NULL
579,687,184600,"튼튼 2단 행거 화이트, 고정식 2단 행거",23900,1838140577,False,0,4.5,17.0,False,,0,17.0,NULL,NULL,NULL,모던/심플,NULL,NULL,거울 없음
580,688,184600,"제이에스리빙 건조대 행거 옷걸이 이동식 스탠드 드레스룸 엔틱 시스템 오픈 대형 조립식 고급형 수납 옷장 헹거 튼튼한 옷 정리 옷걸이행거, 화이트",23500,1853061589,False,37,5.0,1.0,False,,0,1.0,140*65*152,화이트,PP,모던/심플,NULL,NULL,NULL
581,689,184600,"가화행거 클래식4단옷걸이기본형더블커튼행거(3LB3400SDC)시리즈 모음! 행거, 01.3LB3400SDC",53000,1198156773,False,13,4.0,6.0,False,,0,5.0,NULL,화이트,NULL,내추럴,NULL,NULL,NULL
582,690,184600,"까사마루 멀티 드레스룸 행거 1+1+1세트, 블랙",128270,5417898279,False,7,5.0,1.0,False,까사마루,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
583,691,184600,"바지걸이 행거 W3853, 아이보리 함마톤 분체도장",42220,1734277646,True,3,4.5,7.0,False,,0,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
584,692,184600,"왕자 네오스페이스 어린왕자4단조절선반_화이트, 1.화이트(nhc793)",76860,336247882,False,4,5.0,4.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
585,693,184600,"코끼리리빙 2단 수납형 스탠드행거 ERH-6036, 블랙",22170,1854715893,True,0,2.5,5.0,False,코끼리리빙,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
586,694,184600,"넘버원 더블스텐 이동식행거 2단, 혼합 색상",36930,2005996,True,42,4.0,11.0,False,,0,2.0,1000~1350 x 1000~1600 mm,실버,스테인리스,NULL,NULL,NULL,NULL
587,695,184600,"가화행거 원터치 38mm 알루미늄 4폴 드레스룸 커튼 행거 AL4502, A형브라운",119540,20055681,True,0,4.5,61.0,False,가화홈시스,0,11.0,"행거(150 ~ 250 x 235 ~ 325 cm), 커튼(220 x 230 cm)",브라운,철제,NULL,NULL,NULL,NULL
588,696,184600,"모던 감성 심플디자인 바퀴달린 2단 행거 무빙 2단행거 이동식행거 옷걸이행거 고정식행거 튼튼한헹거 철제행거 선반행거 미니행거, 화이트",42000,1752492451,False,35,4.0,4.0,False,,0,4.0,NULL,NULL,NULL,NULL,스탠드/이동식,NULL,NULL
589,697,184600,"키모 르네 행거 선반형, 화이트",52900,266686932,False,10,4.0,19.0,False,키모,0,17.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
590,699,184600,"리우리빙 스크류 행거 3단 38mm M사이즈 블랙, 리우리빙 스크류 행거 3단 블랙 M",49900,246771532,False,0,4.5,52.0,False,리우리빙,0,32.0,NULL,NULL,NULL,모던/심플,설치형,NULL,NULL
591,700,184600,"트레벨 이동식 행거 1단 600, 혼합 색상",16700,1217017,True,0,3.5,84.0,False,트레벨,0,8.0,70~100 x 90~160 cm,베이지,철제,NULL,NULL,NULL,NULL
592,701,184600,"[왕자행거] 왕자 네오스페이스(어바웃드레스룸3P-기본), 색상:1.크림화이트-752(PW)",84830,113804088,False,0,4.5,47.0,False,왕자행거,0,13.0,NULL,NULL,NULL,모던/심플,NULL,NULL,NULL
