,from selenium import webdriver ,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,소재,스툴,사용인원,설치,인테리어
64,,81.0,184623.0,"까사루이 리안 아쿠아텍스 스웨이드 3인용/4인용 패브릭 소파, 3인용, 라이트그레이",320000.0,4919232418.0,False,0.0,4.5,28.0,False,,착불배송,28.0,NULL,NULL,NULL,NULL,NULL,3인용,NULL,모던/심플
65,,82.0,184623.0,"캠프밸리 릴렉스 1인용 밀란소파 플러스 + 쿠션 발받침 체어 세트, 골드그레이",123000.0,180391331.0,False,15.0,4.5,42.0,False,캠프밸리,"5,000",21.0,NULL,NULL,NULL,패브릭,스툴있음,1인용,NULL,클래식/엔틱
66,,83.0,184623.0,위드홈 SLO 슬로 3인용 원목 아쿠아스웨이드 소파,187000.0,4883609966.0,False,50.0,4.0,9.0,False,,착불배송,9.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,,86.0,184623.0,"베스트리빙 리치 3인 가죽소파 방문설치, 다크그레이",399000.0,1858149530.0,True,6.0,4.0,17.0,False,베스트리빙,0,17.0,NULL,NULL,NULL,NULL,NULL,3인용,방문설치,모던/심플
68,,87.0,184623.0,"삼익가구 유루이 천연소가죽 3인용/4인용 소파(카우치형 스툴포함), 02.4인용;그레이",509000.0,2204107152.0,False,49.0,4.0,5.0,False,삼익가구,착불배송,5.0,NULL,NULL,NULL,인조/천연가죽,스툴있음,4인용,NULL,모던/심플
69,,88.0,184623.0,"리바트 발렌 3인 패브릭소파 + 오토만, 블루",796050.0,4528995110.0,True,10.0,5.0,10.0,False,리바트,0,10.0,NULL,NULL,NULL,NULL,NULL,3인용,방문설치,모던/심플
70,,89.0,184623.0,"퍼니코 비제 스툴 카우치 트렌스폼 멀티 소파베드, 크림베이지",149000.0,206554206.0,False,21.0,4.5,28.0,False,퍼니코,착불배송,14.0,NULL,NULL,패브릭,NULL,스툴있음,1인용,NULL,모던/심플
71,,93.0,184623.0,"웰퍼니쳐 에반 아쿠아텍스 카우치 소파 4인용 좌측 카우치 방문설치, 민트",558500.0,2315600018.0,True,8.0,4.5,58.0,False,웰퍼니쳐,0,58.0,NULL,NULL,NULL,패브릭,NULL,4인용,NULL,로맨틱
72,,94.0,184623.0,"블루밍홈 카프 1인용 소파, 스톤블루",123900.0,65102851.0,True,1.0,4.0,80.0,False,블루밍홈,0,26.0,60 x 68 x 80 cm,블루,FABRIC + WOOD LEGS,NULL,스툴 없음,NULL,NULL,로맨틱
73,,95.0,184623.0,"블루밍홈 베릴V2 2인소파 패브릭, 브라운",83120.0,224642428.0,True,38.0,4.5,55.0,False,블루밍홈,0,35.0,115x59x71,브라운,패브릭,NULL,NULL,2인용,NULL,NULL
