,from selenium import webdriver ,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,소재,스툴,사용인원,설치,인테리어
129,,166.0,184623.0,"에보니아 코코 1인용 소파의자 패브리룩 방수가죽, 초코",55280.0,207152449.0,True,27.0,4.5,10.0,False,에보니아,0,8.0,NULL,NULL,NULL,인조/천연가죽,NULL,1인용,NULL,모던/심플
130,,167.0,184623.0,"서광퍼니처 로엠 라텍스 3인용쇼파 소파 스툴세트, 다크브라운/양팔/스툴없음/pvc다리",139000.0,14477462.0,False,53.0,4.0,1145.0,False,서광퍼니처,착불배송,121.0,NULL,NULL,인조가죽,인조/천연가죽,스툴 없음,3인용,NULL,NULL
131,,169.0,184623.0,"수오 레스드 고정형 리클라이너 1인용 소파 + 발받침용 스툴 + 쿠션 HJ-Z-06-S, 블루",129000.0,253360800.0,True,5.0,4.0,63.0,False,수오,0,36.0,W680XD650XH1000,NULL,패브릭,NULL,스툴 있음,NULL,NULL,NULL
132,,170.0,184623.0,"퍼니코 마린 3인용 아쿠아텍스 생활방수 패브릭소파, 라이트그레이",234000.0,1836998837.0,False,50.0,4.0,48.0,False,퍼니코,착불배송,48.0,NULL,NULL,NULL,NULL,스툴 없음,3인용,NULL,모던/심플
133,,171.0,184623.0,"블루밍홈 베릴 2인용쇼파 2인소파, F 메탈그레이ⓘP824045ⓟ",78900.0,46848851.0,False,32.0,4.5,217.0,False,블루밍홈,"9,000",33.0,115x55x70,NULL,패브릭,NULL,스툴 없음,NULL,NULL,NULL
134,,173.0,184623.0,"자네트 쿠바트 3인용 가죽쇼파 스툴포함, 빈티지블루",269000.0,133103406.0,False,41.0,4.5,88.0,False,자네트,착불배송,39.0,3인용쇼파 W1720xD990xH670(헤드업820) mm,NULL,인조가죽,NULL,스툴 있음,NULL,NULL,NULL
135,,175.0,184623.0,"에보니아 107 패브릭 원목 2인용 소파, GRAY",172240.0,319542335.0,True,0.0,4.0,27.0,False,에보니아,0,11.0,NULL,NULL,NULL,패브릭,NULL,2인용,NULL,로맨틱
136,,178.0,184623.0,"바이헤이데이 에코클린 멀티소파 방문설치, 오트밀",1801080.0,2034295608.0,True,0.0,5.0,2.0,False,바이헤이데이,0,2.0,NULL,NULL,NULL,패브릭,NULL,NULL,방문설치,모던/심플
137,,180.0,184623.0,"가구데코 켈즈 패브릭 3인용 소파 + 스툴 + 쿠션 CGM501 방문설치, 연그레이",355000.0,5387527365.0,True,0.0,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,패브릭,스툴있음,NULL,방문설치,NULL
138,,181.0,184623.0,"[한샘] 휴 좌식의자_그레이, 그레이(A)",31900.0,5351795781.0,False,49.0,,,False,한샘,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,,182.0,184623.0,"좌식의자 바닥 등받이 1인 좌식소파, 다크그레이 대형",49900.0,5397001465.0,False,0.0,4.0,4.0,False,,0,4.0,NULL,NULL,NULL,패브릭,NULL,1인,NULL,NULL
140,,183.0,184623.0,"마티노가구 로코코 원목 인조가죽 1인용 소파, 2.로코코 1인 엔틱_다크그린",117000.0,32029517.0,False,24.0,5.0,20.0,False,마티노가구,착불배송,11.0,700x650x780mm,NULL,인조가죽,NULL,스툴 없음,1인용,NULL,NULL
141,,184.0,184623.0,"투릭스 소파 1인 안락의자 대기실 카페 체어, 엔틱브라운",75900.0,246559487.0,False,29.0,5.0,5.0,False,위드퍼니처,0,1.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,빈티지
142,,185.0,184623.0,"에보니아 카우치 2인용 소파베드의자 A형, 그린",104040.0,243707416.0,True,29.0,3.0,37.0,False,에보니아,0,14.0,NULL,NULL,NULL,인조/천연가죽,NULL,2인용,NULL,모던/심플
143,,187.0,184623.0,"라자가구 위드 아쿠아텍스 2인용 소파 스툴포함 cw136, 아이보리",178000.0,1684801517.0,False,54.0,5.0,6.0,False,라자가구,착불배송,6.0,NULL,NULL,NULL,패브릭,스툴 있음,NULL,NULL,모던/심플
144,,188.0,184623.0,"에보니아 포니 1인 소파의자 PU인조가죽, 그레이",59350.0,189723723.0,True,14.0,4.0,132.0,False,에보니아,0,68.0,NULL,NULL,NULL,인조/천연가죽,NULL,1인용,NULL,모던/심플
145,,189.0,184623.0,"동서가구 2인 릴렉스 인조가죽소파 DF631286, 아이보리",159000.0,1190535.0,False,27.0,4.5,31.0,False,동서가구,착불배송,4.0,NULL,NULL,NULL,인조/천연가죽,스툴 없음,2~3인,NULL,NULL
146,,190.0,184623.0,"1인용 빈백소파 80X90CM 미니쇼파, 그레이80X90",20400.0,1320072212.0,False,0.0,4.0,13.0,False,,0,10.0,NULL,NULL,NULL,NULL,NULL,1인용,NULL,모던/심플
147,,191.0,184623.0,"에보니아 메이 벤치소파의자 소, 아이보리",57830.0,205946983.0,True,22.0,4.5,68.0,False,에보니아,0,29.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,모던/심플
148,,192.0,184623.0,"라자가구 위드 지젤 A형 3인용 가죽소파(스툴포함) cu027, 초코브라운",164000.0,201009244.0,False,61.0,5.0,14.0,False,라자가구,착불배송,11.0,W2250xD780xH750mm,브라운,인조가죽,NULL,스툴 있음,NULL,NULL,NULL
149,,193.0,184623.0,"동서가구 LV엘라 3인 4인 천연가죽소파 소파, 2-3.엘라3인+스툴-초코브라운(909001)",389000.0,267033147.0,False,41.0,4.5,37.0,False,동서가구,착불배송,21.0,NULL,NULL,NULL,NULL,스툴있음,3인용,NULL,모던/심플
150,,194.0,184623.0,"에보니아 포니 1인 소파의자 패브릭, 그레이",59680.0,189723705.0,True,13.0,4.0,122.0,False,에보니아,0,38.0,NULL,NULL,NULL,패브릭,NULL,1인용,NULL,모던/심플
151,,195.0,184623.0,"아이와비 피아체 쇼파베드, 그레이",269000.0,205037609.0,False,32.0,4.5,11.0,False,아이와비,0,9.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,,198.0,184623.0,"라자가구 레브 4인용 무빙헤드레스트 가죽 소파 2color, 블루",399000.0,1973236047.0,False,66.0,,,False,라자가구,착불배송,,NULL,NULL,NULL,NULL,스툴있음,NULL,NULL,NULL
153,,199.0,184623.0,"바네스데코 민스 접이식 가죽 3인용 소파베드(Gray), 단품",152100.0,97524602.0,False,10.0,5.0,7.0,False,바네스데코,0,7.0,free,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,,201.0,184623.0,"동서가구 루시 생활방수 아쿠아텍스 클린 4인용 패브릭소파+스툴, 아쿠아블루",539000.0,1883461428.0,False,46.0,5.0,10.0,False,동서가구,착불배송,11.0,NULL,NULL,NULL,패브릭,스툴있음,NULL,NULL,북유럽
155,,202.0,184623.0,"[에보니아] 뮤즈 2인 소파의자_스툴포함 (방수패브릭/인조가죽/2인용소파/미니쇼파), 스타일:우형 / 색상:방수패브릭_그레이",141860.0,292403605.0,False,0.0,4.5,17.0,False,에보니아,0,14.0,NULL,NULL,NULL,NULL,스툴있음,NULL,NULL,NULL
156,,203.0,184623.0,"라자가구 루앙 3인용 아쿠아텍스 쇼파 (보조스툴 무료증정) 라이트그레이/오렌지/옐로우, 오렌지",199000.0,4388681301.0,False,75.0,,,False,라자가구,착불배송,,NULL,NULL,NULL,패브릭,NULL,3인용,NULL,북유럽
157,,204.0,184623.0,"보니애가구 밀리 4인용 아쿠아텍스 3중레이어 생활방수 패브릭 코너 카우치형 소파, 파인그레이 착석시 좌측",747000.0,343836163.0,False,58.0,4.5,10.0,False,보니애가구,0,9.0,NULL,NULL,NULL,NULL,스툴 없음,6인용,NULL,모던/심플
158,,205.0,184623.0,"히다마리 1인용 리클라이너 소파 쏘울, 히다마리 리클라이너 쏘울",169000.0,1076265979.0,False,0.0,5.0,3.0,False,히다마리,0,3.0,NULL,NULL,NULL,패브릭,NULL,1인용,NULL,모던/심플
159,,206.0,184623.0,"자네트 발루이 3인용 가죽쇼파 스툴포함, 화이트",199000.0,181641393.0,False,54.0,4.0,56.0,False,자네트,착불배송,22.0,W1740xD890xH790mm,NULL,인조가죽,NULL,스툴 있음,NULL,NULL,NULL
160,,207.0,184623.0,위드홈 SLO 슬로 1인용 원목 아쿠아스웨이드 소파,103000.0,4883753016.0,False,48.0,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,,208.0,184623.0,"아로미가구 뉴벨르 애쉬원목 천연가죽 3인용 소파, 뉴벨르3인_초코",189000.0,24889963.0,False,0.0,4.0,42.0,False,아로미가구,착불배송,6.0,NULL,NULL,인조가죽,인조/천연가죽,NULL,3인용,NULL,빈티지
162,,210.0,184623.0,"앨런빌 브라이언 3인 가죽 쇼파, 어반그레이",209000.0,60567538.0,False,47.0,4.0,241.0,False,,착불배송,33.0,195*87*87,NULL,인조가죽,NULL,스툴 없음,NULL,NULL,NULL
163,,211.0,184623.0,"나무뜰 코젯 패브릭 3인 서랍형 벤치 수납 소파 SRS006C, 오크-연그레이 쿠션",189000.0,1441306047.0,False,47.0,5.0,23.0,False,나무뜰,착불배송,23.0,NULL,NULL,NULL,패브릭,NULL,3인용,NULL,모던/심플
164,,212.0,184623.0,"보니애가구 에코 생활방수 아쿠아텍스 클린 3인용 패브릭 소파, 스카이블루",248000.0,297660488.0,False,58.0,4.5,39.0,False,보니애가구,착불배송,27.0,NULL,NULL,NULL,NULL,스툴 없음,3인용,NULL,NULL
165,,213.0,184623.0,"[15조한정 특가]에보니아 콜라보 3인용쇼파 패브릭 생활방수 에어레더 스툴포함 3인용소파, 패브릭 라이트그레이",213100.0,2275604043.0,False,26.0,4.5,85.0,False,,착불배송,61.0,NULL,NULL,NULL,패브릭,NULL,NULL,NULL,모던/심플
166,,214.0,184623.0,"동서가구 글로리 구스다운 3인 가죽 소파착불, 그레이",229000.0,1386347513.0,False,0.0,4.0,8.0,False,동서가구,착불배송,8.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,,215.0,184623.0,"리바트 올 뉴탐 3인 패브릭소파세트 1인소파포함, (옵션3)베이지+오크",565300.0,50404644.0,False,37.0,5.0,6.0,False,리바트,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,,216.0,184623.0,"자네트 루이사 아쿠아텍스 4인용 카우치소파, 그레이_A",499000.0,4791592395.0,False,58.0,5.0,1.0,False,자네트,착불배송,1.0,NULL,NULL,NULL,NULL,스툴 없음,4인용,NULL,모던/심플
169,,217.0,184623.0,"리바트 올 뉴탐 1인 패브릭소파 8종택1, (옵션5)다크그레이+월넛",174000.0,146205543.0,False,37.0,4.5,27.0,False,리바트,0,13.0,NULL,NULL,NULL,패브릭,NULL,NULL,NULL,내추럴
170,,218.0,184623.0,"필우드가구 모모 2인용 소파, 01.인조가죽아이보리색상",159000.0,29777510.0,False,41.0,4.5,26.0,False,,착불배송,19.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,모던/심플
171,,219.0,184623.0,"티렌토가구 모드니 3인용/4인용 아쿠아텍스 소파, 모드니 3인 소파 (라이트그레이)",319000.0,2124091486.0,False,73.0,4.5,28.0,False,,착불배송,28.0,NULL,NULL,NULL,NULL,스툴있음(선택사항),3인용,NULL,로맨틱
172,,220.0,184623.0,"[동서가구] 레나 천연가죽 4인 소파 DF907375, 네이비",449000.0,84344528.0,False,39.0,4.5,46.0,False,동서가구,착불배송,15.0,2720x960x900mm,네이비,천연가죽,NULL,스툴 없음,NULL,NULL,NULL
173,,221.0,184623.0,"[한정수량 추가할인]에보니아 티아라 2인소파 생활방수 패브릭 PU가죽 쇼파 소파, 인조 브라운",92400.0,1195519899.0,False,3.0,4.0,62.0,False,,착불배송,53.0,NULL,NULL,NULL,인조/천연가죽,NULL,2인용,NULL,모던/심플
174,,222.0,184623.0,"플로바움 프린스 3인용 쇼파 소파, 초코브라운(330)",268000.0,242150449.0,False,32.0,5.0,12.0,False,플로바움,착불배송,9.0,NULL,브라운,인조가죽,NULL,스툴 없음,NULL,NULL,NULL
175,,223.0,184623.0,"[삼익가구]버니 3인용 대방석세트 좌식쇼파(풀세트), 다크그레이",149000.0,1258487357.0,False,62.0,4.0,36.0,False,삼익가구,0,25.0,NULL,NULL,NULL,패브릭,NULL,3인용,NULL,모던/심플
176,,226.0,184623.0,"가즈다가구 첼로아 3인용 접이식 가죽 소파베드, 첼로아 소파베드_네이비(6월초입고예정)",105000.0,170513999.0,False,0.0,4.5,3.0,False,,"20,000",2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,,227.0,184623.0,"[삼익가구]피거 3인 패브릭패턴 가죽 소파(스툴포함), 오트밀",259000.0,4320525912.0,False,62.0,5.0,6.0,False,삼익가구,착불배송,6.0,NULL,NULL,NULL,NULL,스툴있음,3인용,NULL,모던/심플
178,,228.0,184623.0,"에보니아 레트로 원목 2인 쇼파, 카푸치노",182010.0,232952453.0,True,1.0,4.5,14.0,False,에보니아,0,6.0,NULL,NULL,NULL,인조/천연가죽,NULL,2인용,NULL,내추럴
179,,229.0,184623.0,"마티노가구 로코코 원목 인조가죽 2인용 소파, 2.로코코 2인 엔틱_카푸치노",163000.0,42594355.0,False,15.0,4.5,25.0,False,마티노가구,착불배송,11.0,1260x650x780mm,NULL,인조가죽,NULL,스툴 없음,2인용,NULL,NULL
180,,230.0,184623.0,"조이시스 달링 3인용소파, 화이트(3인)",169000.0,6692817.0,False,0.0,4.0,165.0,False,조이시스,착불배송,27.0,W 1700mm x D 830mm x H 760mm,화이트,인조가죽,NULL,NULL,3인용,NULL,NULL
181,,231.0,184623.0,"스칸디나 가죽 4인용 소파 + 쿠션 2p + 스툴 방문설치, 다크그레이",605520.0,2197858832.0,True,10.0,4.0,56.0,False,샤바스,0,56.0,NULL,NULL,NULL,NULL,NULL,4인용,방문설치,모던/심플
182,,232.0,184623.0,"스칸디나 패브릭 3인용 소파 + 쿠션 방문설치, 블루",354060.0,2197859027.0,True,10.0,4.5,50.0,False,샤바스,0,50.0,2020 x 920 x 1000 mm,블루,패브릭,패브릭,NULL,NULL,방문설치,NULL
183,,233.0,184623.0,"블루밍홈 마카 인조가죽 인테리어 1인용 소파, 아이보리",122000.0,281343283.0,True,8.0,5.0,5.0,False,블루밍홈,0,5.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,NULL
184,,234.0,184623.0,"서광퍼니처 100조한정 수도권 무료배송_서광퍼니처 헤르본 CL라텍스 3인용소파 스툴세트, 네이비/오른팔(착석기준)/PVC다리",207000.0,1137482526.0,False,37.0,4.5,89.0,False,서광퍼니처,0,75.0,NULL,NULL,NULL,인조/천연가죽,스툴있음,NULL,NULL,모던/심플
185,,235.0,184623.0,"에보니아 메이(1200/1500/1800)벤치 소파의자/1인/2인/3인, 메이_1200(카푸치노)",70500.0,295853547.0,False,0.0,4.5,2.0,False,,0,2.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,내추럴
186,,236.0,184623.0,"1인용쇼파 바퀴없는 편한 암체 컴퓨터 책상 공부 안락 의자, 핑크 기본",60860.0,4665648004.0,False,14.0,4.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,,238.0,184623.0,"레이디가구 카누 원목소파 1인 2인 3인, 04. 2인용_라떼베이지",159000.0,2040367844.0,False,56.0,4.5,5.0,False,레이디가구,착불배송,5.0,NULL,NULL,NULL,NULL,NULL,2인용,NULL,내추럴
188,,239.0,184623.0,"서광퍼니처 힐링 이태리 라텍스 천연가죽 카우치 소파세트(4인용, 카푸치노/앉아서 우측 카우치",550560.0,2273980827.0,False,7.0,4.5,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,,241.0,184623.0,"자네트 에디트 아쿠아텍스 4인용소파 스툴포함, 블루",398000.0,5233434275.0,False,55.0,5.0,2.0,False,자네트,착불배송,2.0,NULL,NULL,NULL,NULL,스툴 있음,NULL,NULL,NULL
190,,242.0,184623.0,"베스트리빙 피렌체 2인용 소파, 다크초코",205530.0,1680537924.0,True,0.0,4.0,8.0,False,베스트리빙,0,8.0,NULL,NULL,NULL,인조/천연가죽,NULL,2인용,NULL,모던/심플
191,,243.0,184623.0,"가구룩 라델 4인용 통가죽 카우치소파, 베이지(앉았을때우측카우치)",779000.0,331674115.0,False,44.0,5.0,5.0,False,,착불배송,5.0,NULL,NULL,NULL,인조/천연가죽,NULL,4인용,NULL,모던/심플
192,,244.0,184623.0,[텐바이텐] 보니타빈백 빈백 리필용 정품 충전재 120L 대용량,29120.0,100016956.0,False,27.0,5.0,4.0,False,텐바이텐,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,,245.0,184623.0,"마켓비 AMBO 1인 멀티 소파, 체리주빌레",114000.0,2286518846.0,True,0.0,5.0,1.0,False,마켓비,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,,246.0,184623.0,"바이헤이데이 워터세이프 멀티소파 방문설치, 크림",2008800.0,2034295468.0,True,0.0,,,False,바이헤이데이,0,,NULL,NULL,NULL,NULL,NULL,NULL,방문설치,NULL
195,,247.0,184623.0,"[보니애가구] 메이비 아쿠아텍스 생활방수 3인용 패브릭 소파 + 이동형 보조 카우치, 색상/팔걸이방향선택:스카이블루_착석시 우측 팔걸이 ⓜⓢ1339ⓔ",222000.0,291641865.0,False,56.0,5.0,81.0,False,보니애가구,착불배송,53.0,NULL,NULL,NULL,NULL,스툴 있음,4인용,NULL,NULL
196,,250.0,184623.0,"베스트리빙 [한정수량 30조 특가]뭉크 3인 가죽소파 쇼파+철재블랙 소파테이블, 다크그레이+소파테이블",199000.0,5529095093.0,False,50.0,4.5,619.0,False,베스트리빙,"50,000",534.0,NULL,NULL,NULL,NULL,스툴 없음,1인~3인,NULL,NULL
197,,254.0,184623.0,"블루밍홈 천연가죽 면피 모아이쇼파, 아이보리ⓘP824323ⓟ",499000.0,2212387197.0,False,16.0,5.0,2.0,False,블루밍홈,착불배송,2.0,NULL,베이지,천연가죽,NULL,NULL,NULL,NULL,모던/심플
198,,255.0,184623.0,"밸런스가구 도노 3인용 좌식쇼파, 도노 3인용 카푸치노+스툴",224000.0,24245948.0,False,0.0,4.5,69.0,False,밸런스가구,착불배송,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,,259.0,184623.0,"우피치 레오 3인용 천연가죽소파, 초코",219000.0,1520153622.0,False,0.0,5.0,5.0,False,,착불배송,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,,260.0,184623.0,"삼익가구 쿤스 아쿠아텍스 헤드틸팅 4인용 소파, 01.스툴제외;블루",459000.0,1821264101.0,False,61.0,4.0,7.0,False,삼익가구,착불배송,7.0,NULL,NULL,NULL,NULL,스툴없음,NULL,NULL,NULL
201,,261.0,184623.0,"리바트 발렌 4인 패브릭소파 + 오토만 세트, 그레이",988260.0,4528995543.0,True,6.0,4.5,14.0,False,리바트,0,14.0,NULL,NULL,NULL,NULL,NULL,4인용,방문설치,모던/심플
202,,262.0,184623.0,"삼익가구 [삼익가구]코모도 거위털 천연소가죽 4인용 소파(스툴제외) 소가죽소파, 그레이",419000.0,76709943.0,False,46.0,4.0,68.0,False,삼익가구,착불배송,19.0,2730x940x920,NULL,"소가죽, 라텍스, 거위털, 합성가죽 외",NULL,스툴 없음,NULL,NULL,NULL
203,,264.0,184623.0,"[에보니아] 레오 벤치소파의자 1500 (업소용/가정용/가죽소파/야외소파), 스타일:레오 / 색상:아이보리",78900.0,113868457.0,False,0.0,5.0,6.0,False,에보니아,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,,267.0,184623.0,"베스트리빙 칸트 레옹 3인 4인소파 모음/레옹소파/칸트소파/가죽소파/패브릭소파, 01.레옹 3인 가죽소파",229000.0,4899316512.0,False,61.0,5.0,43.0,False,베스트리빙,착불배송,43.0,NULL,NULL,NULL,인조/천연가죽,NULL,4인용,NULL,모던/심플
205,,268.0,184623.0,"자네트 세실리 카우치소파 (3인용+카우치) 4인용 풀커버 패브릭쇼파, 민트 4인용",369000.0,333043534.0,False,50.0,5.0,185.0,False,자네트,착불배송,114.0,NULL,블루,NULL,NULL,스툴 있음,4인용,NULL,NULL
206,,270.0,184623.0,"보니애가구 네티 아쿠아텍스 생활방수 USB형 패브릭 소파 3인용 3인, 스카이블루",305000.0,331714940.0,False,49.0,4.0,29.0,False,보니애가구,착불배송,17.0,NULL,NULL,NULL,NULL,스툴 없음,3인용,NULL,모던/심플
207,,272.0,184623.0,"퍼니트랜드 엔틱가구 화장대 스툴, 단품",79000.0,98216738.0,False,0.0,5.0,9.0,False,퍼니트랜드,0,1.0,NULL,NULL,NULL,NULL,스툴있음,NULL,NULL,NULL
208,,273.0,184623.0,"에보니아 티파니 1인소파 생활방수 패브릭, 그레이",295000.0,207152209.0,False,0.0,4.0,52.0,False,에보니아,0,23.0,NULL,NULL,NULL,패브릭,NULL,1인용,NULL,NULL
209,,274.0,184623.0,"블루밍홈 다이닝소파 1인용, 그레이",98900.0,33907861.0,True,0.0,4.5,13.0,False,블루밍홈,0,2.0,52x29x70,그레이,패브릭+철제,NULL,NULL,NULL,NULL,NULL
210,,276.0,184623.0,"리바트 올 뉴탐 3인 패브릭소파, (옵션1)다크그레이+오크",391290.0,146727006.0,False,37.0,4.5,23.0,False,리바트,0,6.0,1950*850*850,NULL,패브릭,NULL,스툴 없음,NULL,NULL,NULL
211,,278.0,184623.0,"북유럽인테리어 벨벳쇼파 1 2 3인용 거실 의류매장 미용실, 라이트핑크 + 2인용",153000.0,2357687929.0,False,0.0,3.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,,279.0,184623.0,"라자가구 이끌림 3인용소파 가죽 소파 무빙헤드레스트, 블루그레이",299000.0,1101225563.0,False,0.0,5.0,2.0,False,라자가구,착불배송,2.0,NULL,NULL,NULL,NULL,스툴 없음,3인용,NULL,모던/심플
213,,280.0,184623.0,"썬퍼니처 투스툴 3인용 4인용 풀커버 패브릭 소파+스툴 2개 소파베드 겸용 소파, 3인용+스툴2개 라이트베이지(6월초순 순차배송)",309000.0,1806517028.0,False,0.0,5.0,15.0,False,썬퍼니처,착불배송,15.0,NULL,NULL,NULL,NULL,스툴 있음,3인용,NULL,모던/심플
214,,281.0,184623.0,"동서가구 라텍스탑 무드모던 4인 천연가죽쇼파 DFAC5481, 카키그레이",459000.0,14897649.0,False,53.0,4.0,34.0,False,동서가구,착불배송,8.0,NULL,NULL,NULL,인조/천연가죽,NULL,4인용,NULL,내추럴
215,,282.0,184623.0,"조이시스 루니에 패브릭 접이식 소파베드, 토프그레이",197000.0,205151854.0,False,0.0,4.0,21.0,False,조이시스,착불배송,12.0,NULL,그레이,패브릭,NULL,스툴 없음,2인용,NULL,모던/심플
216,,283.0,184623.0,"[전국무료배송/무료반품] 아이데뉴 모데라토 모듈형 4인 3인 발수패브릭소파, 민트",99000.0,5269612758.0,False,54.0,,,False,아이데뉴,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,,285.0,184623.0,"[삼익가구]지니어스 트랜스폼 패브릭 소파베드, 그레이",249000.0,1713292293.0,False,58.0,5.0,5.0,False,삼익가구,착불배송,5.0,NULL,NULL,NULL,패브릭,NULL,NULL,NULL,모던/심플
218,,286.0,184623.0,"[한정수량 추가할인쿠폰]에보니아 루키 패브릭룩 방수가죽 2인용 접이식 소파 (쿠션증정 행사진행중) 쇼파베드, 베이지",147300.0,1171555397.0,False,7.0,4.5,32.0,False,,착불배송,23.0,NULL,NULL,NULL,인조/천연가죽,NULL,2인용,NULL,모던/심플
219,,287.0,184623.0,"동서가구 거위털 3인 가죽소파 DF635899 소파, 네이비",269000.0,1443500073.0,False,48.0,4.0,18.0,False,동서가구,착불배송,14.0,NULL,NULL,NULL,인조/천연가죽,NULL,3인용,NULL,NULL
220,,288.0,184623.0,"서광퍼니처 초이스 라텍스 4인용 소파, 그레이/스툴포함",225000.0,102350161.0,False,22.0,4.5,3.0,False,서광퍼니처,착불배송,,NULL,그레이,인조가죽,NULL,스툴 있음,4인용,NULL,NULL
221,,291.0,184623.0,"[당일출고] 이케아 POANG 흔들의자/안락의자/1인소파, 라이트베이지",135900.0,140046543.0,False,0.0,5.0,4.0,False,,착불배송,1.0,NULL,NULL,NULL,패브릭,NULL,NULL,NULL,내추럴
222,,292.0,184623.0,"마켓비 BENWOOD 2인 소파 YC12AD 브라운, 아이보리",171500.0,1978194945.0,False,14.0,5.0,3.0,False,마켓비,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,,293.0,184623.0,"안단테 3인용 4인용 아쿠아텍스 신소재 방수패브릭 이지클린 패브릭소파, 추가안함, 4인-라이트그레이",399000.0,4842182005.0,False,60.0,5.0,4.0,False,,착불배송,4.0,NULL,NULL,NULL,패브릭,NULL,4인용,NULL,모던/심플
224,,294.0,184623.0,"포니 1인/2인 고급(PU)가죽/패브릭(방수원단)소파, 1인/패브릭-브라운",70500.0,295853892.0,False,0.0,4.5,8.0,False,,0,7.0,NULL,NULL,NULL,패브릭,NULL,1인용,NULL,모던/심플
225,,295.0,184623.0,"에보니아 방수 패브릭 2인용 소파 115, 다크블루",188330.0,1929915478.0,True,3.0,3.5,13.0,False,에보니아,0,12.0,NULL,NULL,NULL,패브릭,NULL,2인용,NULL,모던/심플
226,,296.0,184623.0,"[보루네오] 엘리브 리센트 3인용 라텍스 가죽 쇼파 소파, 3인용 마일드베이지_sa007",569000.0,1130557054.0,False,16.0,4.0,15.0,False,보루네오하우스,0,9.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,,297.0,184623.0,"웰퍼니쳐 에반 아쿠아텍스 4인용 카우치 소파 + 사각쿠션 2개 포함, 로얄블루(앉았을때 좌측)",559000.0,5143173728.0,False,66.0,5.0,222.0,False,웰퍼니쳐,착불배송,157.0,2970x1770x900,NULL,패브릭,NULL,스툴 없음,NULL,NULL,NULL
228,,299.0,184623.0,"레이디가구 무브먼트 원목 소파베드_접이식매트리스포함, 내추럴",359000.0,4533467616.0,False,52.0,4.5,22.0,False,레이디가구,착불배송,8.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229,,301.0,184623.0,"보니애가구 에이미 윙체어 소파 1인용 + 보조쿠션, 그레이",179000.0,7274238.0,False,40.0,4.5,80.0,False,보니애가구,착불배송,9.0,NULL,NULL,NULL,패브릭,스툴 없음,1인,NULL,NULL
230,,303.0,184623.0,"삼익가구 헬라 패브릭패턴 가죽 3인용 소파 + 스툴 방문설치, 그레이",343610.0,4349355335.0,True,5.0,4.0,11.0,False,삼익가구,0,11.0,NULL,NULL,NULL,NULL,스툴있음,NULL,방문설치,NULL
231,,304.0,184623.0,"에보니아 107 패브릭 원목 2인용 소파, IVORY",172240.0,335223950.0,True,3.0,3.5,9.0,False,에보니아,0,5.0,NULL,NULL,NULL,패브릭,NULL,2인용,NULL,내추럴
232,,305.0,184623.0,[아누리] EPP충전재 빈백리필 소파 비즈알갱이 60L,12510.0,1689695098.0,False,7.0,,,False,아누리,0,,NULL,NULL,상품 상세설명 참조,NULL,NULL,NULL,NULL,NULL
233,,306.0,184623.0,"시스디자인 니도 패브릭 3인용 소파 방문설치, 아이리스베이지",519870.0,4327815410.0,True,8.0,4.0,4.0,False,시스디자인,0,4.0,NULL,NULL,NULL,NULL,NULL,3인용,방문설치,모던/심플
234,,307.0,184623.0,"라자가구 레브 3인용 무빙헤드레스트 가죽 소파 2color, 블루",289000.0,1973147710.0,False,65.0,5.0,1.0,False,라자가구,착불배송,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
