,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,형태,바퀴
542,737,184625,"4인 원탁 라운드 카페 의자 티 테이블 세트, 라운드 테이블 파랑흰색 의자",183980,1663728927,False,0,4.0,6.0,False,,"95,000",6.0,NULL,NULL,NULL,NULL,NULL
543,738,184625,"마켓비 GRUET 사이드 테이블 원형 48cm, 다크그레이",28500,1500422801,False,0,4.5,8.0,False,마켓비,"6,000",7.0,NULL,NULL,NULL,원형,NULL
544,740,184625,"[삼익가구]멀바우 다용도 베드테이블(퀸), 멀바우브라운",76900,181963060,False,40,4.0,13.0,False,삼익가구,착불배송,8.0,NULL,NULL,NULL,NULL,NULL
545,741,184625,"바니가구 스타 2단 협탁, 화이트W",38900,42062094,False,0,4.5,32.0,False,,0,13.0,가로440깊이360높이510,화이트,MDF,NULL,NULL
546,742,184625,"파로마 아이리스 원목도장 강화유리 사각 협탁 사이드테이블, 네추럴",39900,5237904110,True,0,5.0,3.0,False,파로마,0,3.0,NULL,NULL,NULL,NULL,NULL
547,743,184625,"대리석 거실 테이블 거실 좌식 소파 티테이블 탁자, C타입",173700,4713514265,False,0,4.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
548,744,184625,"[우드공간] 원목접이식 선반형 거실테이블 소파테이블, 리빙 선반형테이블1100(내추럴)",66500,4589612380,False,4,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
549,745,184625,"좁고긴테이블 폭좁은 사이드 오버베드 쇼파 뒤 책장 베란다 벽 슬림 보조 간이 창가 테이블, 100-20-75 색상 기입",38900,5281416899,False,0,,,False,대륙,0,,NULL,NULL,NULL,NULL,NULL
550,747,184625,"모던 대리석 거실 소파 티 인테리어 디자인 골드 테이블, 60X60X45골드_전체 복장",85500,4655099017,False,1,,,False,,0,,NULL,NULL,NULL,NULL,NULL
551,748,184625,"고무나무 원목 리프트업 거실 소파 테이블, B TYPE[원목다리], 월넛색상",237000,4771159233,False,60,4.5,5.0,False,,착불배송,5.0,NULL,NULL,NULL,NULL,NULL
552,749,184625,"IYES 이동식 침대 각도조절 사이드테이블 IY-2908, 블랙",79900,4758332818,True,0,5.0,1.0,False,,0,1.0,800~1200 x 400 mm,블랙,NULL,NULL,바퀴있음
553,750,184625,"룸앤홈 모노 라운드 접이식 테이블 600, 웜그레이지",12100,5387495271,True,0,,,False,룸앤홈,0,,600 x 480 x 300 mm,NULL,NULL,NULL,NULL
554,751,184625,"IYES 다용도 일체형 거실 침대 사이드 테이블 IY-CA1, 블랙",34320,4791775449,True,0,5.0,1.0,False,,0,1.0,480 x 430 mm,NULL,NULL,NULL,NULL
555,752,184625,"루네미 반원형 테이블 1000, 화이트",129280,2122694182,True,3,,,False,,0,,NULL,NULL,NULL,기타도형,NULL
556,753,184625,"마켓비 DIGOOD 이동식 사이드테이블 5030 고무나무, 혼합 색상",64980,1201788541,True,4,4.5,16.0,False,마켓비,0,14.0,NULL,NULL,NULL,NULL,NULL
557,754,184625,"마켓비 CESBON 라탄 수납테이블 4843, 내추럴",184000,1760807822,False,0,5.0,21.0,False,마켓비,0,18.0,NULL,NULL,NULL,NULL,NULL
558,755,184625,"동화나무 조립식 철제 멀바우 일자형 조립 서재 선반 테이블 책상, 07.테이블1200(상판:아카시아/다리:블랙)",89000,208523653,False,0,4.5,13.0,False,,0,11.0,1200x400x7300,NULL,철제,NULL,바퀴없음
559,756,184625,"라탄 테이블(야외 테이블 라탄찻상 뱀부테이블 대나무 테이블), 라탄단일",44650,1292363657,False,0,5.0,4.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL
560,758,184625,"IYES 이동식 사이드 노트북 테이블 책상 IY-402, 블랙",33910,2074232851,True,0,4.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
561,760,184625,"아이앤홈 에보니 미니테이블 590X480 교자상, 1개",17900,1922367793,False,10,4.0,4.0,False,,0,4.0,NULL,NULL,NULL,라운드형,NULL
562,761,184625,"동서가구/착불 라떼 800 2단 서랍장 DF918463, 멀바우",54900,4322589700,False,27,3.5,3.0,False,동서가구,착불배송,3.0,NULL,NULL,NULL,NULL,NULL
563,763,184625,"퍼니브라운 1200 리프트 테이블, 화이트블랙",99900,58745968,False,50,4.0,141.0,False,,착불배송,14.0,NULL,NULL,NULL,NULL,NULL
564,764,184625,베르디 대리석 테이블 1050 골드 (옵션선택),161000,4348342058,False,57,4.0,4.0,False,,착불배송,4.0,NULL,NULL,NULL,NULL,NULL
565,765,184625,"[무료배송]오픈기념 가로1600 사이즈 로아공방 접이식 테이블 대형 테이블 손님상 좌식탁 좌식상 집들이상, 사각4단다리, 블랙",80000,5348281488,False,33,4.5,5.0,False,,0,5.0,NULL,멀티(혼합)컬러,NULL,직사각형,NULL
566,766,184625,"로망스 사이드 테이블 거실 간이 보조 골드 티테이블, 화이트",75900,2360349689,False,28,5.0,2.0,False,위드퍼니처,0,2.0,NULL,NULL,NULL,NULL,NULL
567,768,184625,아네마름 티티 테이블(수납) 사각 사이드 테이블 400x400 국산 애쉬 월넛 사이드테이블,69000,1635214886,False,23,4.0,2.0,False,,착불배송,2.0,NULL,NULL,NULL,NULL,NULL
568,769,184625,마루엔개비 자연림 다용도 긴 테이블 120사이즈 원목좌탁,279180,197895277,False,12,5.0,6.0,False,,0,5.0,NULL,NULL,NULL,NULL,NULL
569,770,184625,"라탄 티테이블 세트 (테이블1+체어2) 카페 테이블, B",97600,1853247373,False,23,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
570,771,184625,"코린트리 4color 리프트 거실테이블 소파테이블 800, 블랙",59000,4752207023,False,50,5.0,5.0,False,,착불배송,5.0,NULL,NULL,NULL,직사각형,NULL
571,772,184625,"모드니 마블 모자이크 소파 거실 탁자 골드 블랙 원형 세라믹 테이블(무광), 옵션 01.1.모드니마블패턴 세라믹테이블(블랙프레임)",95000,2058114227,False,0,4.0,4.0,False,,"30,000",4.0,NULL,NULL,NULL,NULL,NULL
572,773,184625,"맘앤키드 키니빈 좌식 책상 1200, 화이트",45900,1464927090,False,54,4.5,172.0,False,,0,7.0,NULL,NULL,NULL,NULL,NULL
573,774,184625,"* 이동식 소파 침대 사이드 테이블 원목 거실 심플 간이 아이디어 다용도, E",26900,4699211521,False,0,5.0,1.0,False,,"7,000",1.0,NULL,NULL,NULL,NULL,바퀴있음
574,777,184625,"오르난 미니테이블 D968, 골드",45180,4691871653,False,5,4.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
575,779,184625,"도리퍼니처 뉴욕 원형 2인 테이블세트 /철제 접이식 의자 테이블, 화이트",114000,282665570,False,0,5.0,5.0,False,도리퍼니처,0,4.0,NULL,화이트,철제,원형,NULL
576,781,184625,"룸앤홈 지노 위빙 사각 테이블 M, 그레이",17850,226170316,True,14,4.0,11.0,False,룸앤홈,0,2.0,NULL,NULL,NULL,NULL,NULL
577,782,184625,"포레스트 빗살원목 2단 침대협탁 수납 거실협탁, 포레스트 원목 빗살 2단 협탁",89000,2171021785,False,31,4.5,6.0,False,,착불배송,6.0,NULL,NULL,NULL,NULL,NULL
578,783,184625,"도리퍼니처 메탈 원형 높이조절 테이블, 화이트",48000,290491832,True,0,4.5,6.0,False,도리퍼니처,0,5.0,NULL,화이트,철제,원형,NULL
579,785,184625,"하늘비즈/ 협탁 심플 모던 침실 수납장 컴팩트한 베드사이드 멀티 기능캐비닛 XZ48 A22, 01 화이트",19850,2156752287,False,0,3.5,10.0,False,,0,10.0,NULL,화이트,원목,NULL,NULL
580,786,184625,"IYES 이동식 태블릿 노트북 사이드 테이블 IY-84TB 대형 80cm, 베이지우드",48450,1946884829,True,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL
581,788,184625,"파란들 베키 스틸 1200 좌식 테이블(30각) 티테이블 간이테이블 소파 테이블, 비앙코마블",89000,226863267,False,47,4.5,3.0,False,파란들,0,1.0,NULL,NULL,NULL,NULL,NULL
582,789,184625,"우드공간 베드트레이 고무나무원목 각도조절 접이식 좌식 테이블, 멀티베드트레이(내추럴)",22900,172647743,False,0,4.0,35.0,False,,0,6.0,600x350x250,베이지,원목,NULL,NULL
583,791,184625,"HY 침대머리 가정용 거실 선반 쏘파 옆 침대의 침대 가장자리에는 서랍이 달려 작은 찬장을 수납한다 A8, GCM",31000,1468004788,False,11,3.0,21.0,False,다소미얼,0,21.0,NULL,블랙,합성목재,NULL,NULL
584,792,184625,"파란들 솔비 원목좌탁 1200, 없음",113050,1201929581,False,5,3.5,3.0,False,파란들,0,3.0,NULL,NULL,NULL,NULL,NULL
585,793,184625,"가팡 대리석 사이드 티 테이블 프레임 싱글620, 화이트 + 골드",94150,1716694579,True,0,3.0,4.0,False,가팡,0,4.0,NULL,NULL,NULL,NULL,NULL
586,794,184625,"마켓비 TRODY 사이드테이블, 블랙브라운",67900,5149329,False,0,4.0,307.0,False,마켓비,0,51.0,45 x 40 x 50 cm,브라운,철제,NULL,NULL
587,795,184625,"LPM 최고급형 높이조절 접이식 테이블 1200 x 600 mm, 화이트",47090,2311884407,True,10,5.0,5.0,False,,0,5.0,NULL,NULL,NULL,NULL,NULL
588,796,184625,"리빙힙 팬지 테이블 M, 화이트",42750,180956875,True,26,4.5,105.0,False,,0,26.0,NULL,화이트,원목,NULL,NULL
589,798,184625,"우드레이 HPM 원목 사이드테이블 01, 화이트",37760,4774226272,True,0,,,False,우드레이,0,,NULL,NULL,NULL,NULL,NULL
590,799,184625,"바퀴달린 이동식 슬라이딩 침대용 테이블 폭좁은 침대 베드 김세정, 120 * 40 * 80 (100 침대) 내경 107",77000,1920243315,False,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
591,800,184625,"나무궁 원목 아이언 사이드 테이블 400 x 400 x 668 mm, 진오크 골든시리즈(상판) + 블랙(다리)",89000,2004214465,True,0,5.0,2.0,False,나무궁,0,2.0,NULL,NULL,NULL,NULL,NULL
592,801,184625,"한샘 클린트 모던 거실테이블 (4종 택1), 월넛(C)",72000,2251082532,False,16,5.0,1.0,False,한샘,0,1.0,NULL,NULL,NULL,NULL,NULL
593,802,184625,"이케아 LACK 라크 보조테이블 사이드테이블 화이트, 단품",17900,233701140,False,0,5.0,3.0,False,이케아,0,3.0,NULL,NULL,NULL,NULL,NULL
594,803,184625,"비앙코 카라라 골드 거실 마블 인조 대리석 사이드 테이블 침대 쇼파 보조 협탁, 뉴 클래식 테이블 300*500*580",56500,318381762,False,24,4.5,3.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL
