,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,색상,재질,인테리어
352,512,184670,"하트 갤러리 패널 미니 4단 원목 인테리어 파티션 주방 아일랜드 칸막이, 화이트",130000,4583169204,False,17,4.5,2.0,False,가구야히메,"6,600",2.0,화이트,원목,모던/심플
353,513,184670,"어린이집 유치원 책상 투명 칸막이 pp가림막(소형), 상세페이지 참조",2900,4994025586,False,23,5.0,1.0,False,,"3,000",1.0,NULL,NULL,NULL
354,514,184670,"마루칸 우드파티션 파티션, 1400 우드파티션 3단",79000,16928931,False,0,4.0,49.0,False,마루칸,"6,000",6.0,베이지,NULL,내추럴
355,515,184670,"엘리아 4단 원목 파티션 인테리어 가벽, 화이트",139000,4589996606,False,19,5.0,1.0,False,투플레이스,"10,000",1.0,NULL,NULL,NULL
356,516,184670,"마켓리더 가벽 인테리어 스트라이프 파티션 494, 블랙",89900,1598454114,False,10,5.0,4.0,False,,착불배송,4.0,NULL,NULL,NULL
357,517,184670,"루이송 원목 화이트 인테리어 4단 파티션, 하모니 화이트 4단파티션",99000,324712237,False,0,4.0,5.0,False,루이송,0,3.0,NULL,NULL,NULL
358,519,184670,"까사마루 다용도 매직 파티션, 화이트",38800,5228231470,False,22,5.0,1.0,False,까사마루,0,1.0,NULL,철제,모던/심플
359,520,184670,향림공예 미니 6폭 누빔 병풍커버 병풍 보관커버,19000,1408978864,False,5,5.0,1.0,False,,"3,000",1.0,NULL,NULL,NULL
360,522,184670,"카미코코 1200 1단 2단 3단 우드파티션 칸막이 가리개, 1200 올워시 3단 (620)",71900,1173062240,False,0,4.0,1.0,False,,착불배송,1.0,NULL,NULL,NULL
361,523,184670,투명 아크릴 계산대 천정형 칸막이 / 가림막 / 편의점 아크릴 칸막이,16300,4891507298,False,0,,,False,,0,,NULL,NULL,NULL
362,524,184670,"카미코코 1500 1단 2단 3단 우드파티션 칸막이 가리개, 1500 올화이트 2단 (420)",47900,1173062256,False,0,2.5,5.0,False,,착불배송,3.0,NULL,NULL,NULL
363,526,184670,"1인상 2인상 국내손수제작 미니어처제사상 납골당제사상 모형제사상 추모관제사상 추모관꾸미기 모형차례상 미니어쳐제사상 납골당꾸미기 미니제사상 병풍포함, 막걸리, 1인상서예",69000,5158441177,False,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL
364,527,184670,"해피데이 4단 리즈 파티션, 블랙",54900,580054,False,0,3.5,27.0,False,해피데이,착불배송,1.0,NULL,NULL,NULL
365,528,184670,"접이식 파티션 울타리 정원 장식 야외 펜스 장식 등나무 방부 격자 차단 꾸미기 나무 우드 인테리어 가벽 가림막 칸막이, H.92cm",37400,5321618401,False,78,,,False,,0,,NULL,NULL,NULL
366,529,184670,"하트 패브릭 패널 4단 원목 인테리어 파티션 까페 공간분리 식당 가림막, 체리브라운",123000,4648779958,False,20,3.0,1.0,False,가구야히메,"6,600",1.0,브라운,원목,빈티지
367,530,184670,"[한샘x스파이더락] 스페이스플러스 철제파티션 ACC 사각롱선반, 화이트",10240,2170765591,False,3,,,False,한샘,"3,000",,NULL,NULL,NULL
368,531,184670,"서우 사군자 8폭 비단병풍 반야심경, 혼합 색상",179000,121378832,True,5,3.5,5.0,False,서우,0,1.0,NULL,NULL,NULL
369,533,184670,"타공판 인테리어 철제파티션 60cm 결합형 120cm + 120cm, 화이트",155100,1434611316,True,0,2.0,1.0,False,,0,1.0,NULL,NULL,NULL
370,534,184670,"국산 아크릴 칸막이 비말차단 가림막 식당 학원 유치원 학교 투명, 소 (48cm X 40cm)",14500,5186160696,False,50,,,False,,"5,000",,투명,아크릴,NULL
