,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
193,260,184613,"데코라인 코넬 벨르 1200 아일랜드 서랍장 DSW012C, 올오크",185000,2089116270,False,43,4.0,4.0,False,데코라인,착불배송,4.0,NULL,NULL,NULL,NULL
194,261,184613,"리바트 데이지 3단 서랍장, 단일옵션",168250,2057630076,False,40,4.5,2.0,False,리바트,0,2.0,NULL,NULL,NULL,NULL
195,262,184613,"[우아미가구] 보니또 대용량 5단 서랍장 1000, 색상:화이트",145250,1619057334,False,12,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL
196,263,184613,"소티디자인 디프2 3단 속깊은 서랍장 800 광폭 수납장, 아이보리",89000,174669313,False,38,4.0,7.0,False,소티디자인,착불배송,3.0,W800 x D500 x H759,화이트,NULL,NULL
197,264,184613,"팬물산 바네스 4단 5문 서랍장, 화이트",62400,4604379449,True,39,3.0,5.0,False,팬물산,0,5.0,NULL,NULL,NULL,NULL
198,265,184613,"제이디퍼니처 로미 발통형 5단 협탁, 메이플화이트",43500,1486601,True,0,3.5,155.0,False,제이디퍼니처,0,21.0,400 x 370 x 770 mm,화이트,합성목재,NULL
199,266,184613,"유니크퍼니처 카멜(60cm)2자2단 서랍장, 오크",29900,12382715,False,0,4.0,121.0,False,,착불배송,25.0,585×400×430,브라운,"MDF,PB,PVC시트,철레일",NULL
200,268,184613,"착한가구 레이디 300 5단 서랍장, 화이트",39800,3498704,False,0,4.0,128.0,False,착한가구,착불배송,15.0,300 x 400 x 1010mm,화이트,PB + MDF,NULL
201,270,184613,"[보루네오 하우스] 아르메 모던 830 와이드 3단 서랍장, 내추럴",89000,1371053115,False,47,5.0,1.0,False,보루네오,착불배송,1.0,NULL,NULL,NULL,NULL
202,271,184613,"라자가구 오브 메이크 600 3단 서랍장 FO0901, 메이플화이트",59000,161369387,False,40,4.0,62.0,False,라자가구,0,36.0,NULL,멀티(혼합)컬러,MDF,모던/심플
