,from selenium import webdriver ,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
932,,868.0,434951.0,"점착식 동물모양 고리 애니멀 후크 마스크 차키 걸이 인테리어소품 접착식 아이디어, 곰, 북극곰",3100.0,2019913301.0,https://www.coupang.com/vp/products/2019913301?itemId=3436184936&vendorItemId=71422678863&sourceType=CATEGORY&categoryId=434851,False,43.0,5.0,9.0,False,어썸,0,"['수입방식: 병행수입', '재질: 실리콘', '형태: 점착식, 접착식', '걸이 개수: 2', '쿠팡상품번호: 2019913301 - 3436184936']",[],9.0
934,,870.0,434951.0,"조은리빙 논슬립 성인 철제 옷걸이, 그레이, 50개",14900.0,4925566265.0,https://www.coupang.com/vp/products/4925566265?itemId=6462835558&vendorItemId=73757280402&sourceType=CATEGORY&categoryId=434851,True,0.0,5.0,5.0,False,조은리빙,0,"['종류: 셔츠/상의', '논슬립여부: 논슬립', '나시끈걸이 포함여부: 나시끈걸이 포함', '재질: 강철/철제', '색상계열: 그레이계열', '쿠팡상품번호: 4925566265 - 6462835558']",[],5.0
935,,871.0,434951.0,"제이라이프 스탠다드 바지걸이, 화이트, 2개",13940.0,1981898903.0,https://www.coupang.com/vp/products/1981898903?itemId=3371827416&vendorItemId=71358536821&sourceType=CATEGORY&categoryId=434851,True,0.0,4.0,8.0,False,,0,"['색상계열: 화이트계열', '쿠팡상품번호: 1981898903 - 3371827416']",[],8.0
936,,872.0,434951.0,"디스토어 NEW 심플 바지걸이(국내산) 20P, 블랙, 20개",13900.0,680338.0,https://www.coupang.com/vp/products/680338?itemId=13377659&vendorItemId=3020537988&sourceType=CATEGORY&categoryId=434851,False,0.0,4.5,166.0,False,,0,"['옷고리 회전여부: 회전가능', '묶음 수량: 20개', '쿠팡상품번호: 680338 - 13377659']",[],17.0
937,,873.0,434951.0,"로하스 모자걸이, 1개",8900.0,1968671.0,https://www.coupang.com/vp/products/1968671?itemId=8791171&vendorItemId=70588520576&sourceType=CATEGORY&categoryId=434851,False,0.0,4.0,461.0,False,로하스,0,"['사이즈: 620 x 135 x 100mm', '재질: ABS', '색상계열: 원목스타일', '걸이 개수: 4개', '쿠팡상품번호: 1968671 - 8791171']",[],25.0
938,,874.0,434951.0,"아이디어홍 탄탄행거 스텐 논슬립 옷걸이 남성용, 10개",6330.0,2354463762.0,https://www.coupang.com/vp/products/2354463762?itemId=4084845533&vendorItemId=72068847184&sourceType=CATEGORY&categoryId=434851,True,0.0,5.0,2.0,False,,0,"['논슬립여부: 논슬립', '나시끈걸이 포함여부: 나시끈걸이 포함', '형태: 옷걸이형', '묶음 수량: 10개', '종류: 셔츠/상의', '쿠팡상품번호: 2354463762 - 4084845533']",[],2.0
939,,875.0,434951.0,"DISSHOP 오버핏 옷걸이 KSS-45 브라운컬러 10P구성 L~XL전용옷걸이 수납정리가 깔끔한, 10개, 브라운 45cm",14900.0,1073902655.0,https://www.coupang.com/vp/products/1073902655?itemId=2023237898&vendorItemId=70022884361&sourceType=CATEGORY&categoryId=434851,False,31.0,5.0,58.0,False,,0,"['색상계열: 브라운계열', '종류: 정장/코트/패딩', '재질: 플라스틱', '옷고리 회전여부: 옷고리 회전가능', '묶음 수량: 10개', '쿠팡상품번호: 1073902655 - 2023237898']",[],43.0
940,,876.0,434951.0,"10개세트 엣지 무타공 접착식 후크 현관 마스크걸이 벽옷걸이 욕실 벽 액자 열쇠 걸이 벽걸이후크 초강력 부착식, 핑크.버건디10P",5900.0,4753514019.0,https://www.coupang.com/vp/products/4753514019?itemId=6052614399&vendorItemId=73349820615&sourceType=CATEGORY&categoryId=434851,False,0.0,4.0,6.0,False,엣지,0,['쿠팡상품번호: 4753514019 - 6052614399'],[],6.0
943,,879.0,434951.0,"데코 하트논슬립옷걸이 / 블루 50입+핑크 50입, 1세트, 블루, 핑크, 100개",18730.0,3881877.0,https://www.coupang.com/vp/products/3881877?itemId=19003364&vendorItemId=3027864616&sourceType=CATEGORY&categoryId=434851,True,1.0,4.0,110.0,False,데코,0,"['구성품: 블루 50입 + 핑크 50입', '사이즈: 39 x 19.5 x 0.5 cm', '목늘어남 방지기능: 목늘어남 방지', '타이/목도리걸이 포함여부: 타이/목도리걸이 포함', '논슬립여부: 논슬립', '쿠팡상품번호: 3881877 - 19003364']",[],30.0
944,,880.0,434951.0,"쭈니N뿌꾸 현관 문 자석 마스크 걸이 고리 정리 보관 책가방 차키 열쇠 선반 문걸이대, 1.현관자석행거-블랙",7700.0,1951613528.0,https://www.coupang.com/vp/products/1951613528?itemId=3315167716&vendorItemId=71302049486&sourceType=CATEGORY&categoryId=434851,False,23.0,4.5,22.0,False,,0,['쿠팡상품번호: 1951613528 - 3315167716'],[],22.0
945,,881.0,434951.0,"네이쳐리빙 논슬립 코팅 키즈 상의 옷걸이, 화이트, 20개",13900.0,4731976669.0,https://www.coupang.com/vp/products/4731976669?itemId=5999650973&vendorItemId=72502546015&sourceType=CATEGORY&categoryId=434851,False,30.0,5.0,1.0,False,네이쳐리빙,0,"['논슬립여부: 논슬립', '색상계열: 화이트계열', '종류: 유아동의류', '형태: 옷걸이형', '묶음 수량: 20개', '쿠팡상품번호: 4731976669 - 5999650973']",[],1.0
946,,882.0,434951.0,"와이어슬리브 와이어 터미널 압착단자 커넥터 연결 고정 부속, 슬리브 외경1.8mm 100개",2220.0,4704751470.0,https://www.coupang.com/vp/products/4704751470?itemId=5930181648&vendorItemId=73228186188&sourceType=CATEGORY&categoryId=434851,False,0.0,4.5,15.0,False,,"2,500",['쿠팡상품번호: 4704751470 - 5930181648'],[],15.0
