,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
797,798,184674,"조은세상 LPM 테이블 400x400 접이식 밥상, 베이지",15900,232018364,https://www.coupang.com/vp/products/232018364?itemId=736754185&vendorItemId=4860114053&sourceType=CATEGORY&categoryId=184574,False,0,4.5,10.0,False,조은세상,0,"['재질: 합성목재', '사이즈: 400x400x200', '가로길이: 400mm', '접이 가능여부: 접이식가능', '색상계열: 베이지', '쿠팡상품번호: 232018364 - 736754185']",[],8.0
798,799,184674,"오홀리브 액자테이블 접이식상 중 72 x 48 x 27 cm, 02 노란튤립",22350,1837432543,https://www.coupang.com/vp/products/1837432543?itemId=3124165699&vendorItemId=71111833892&sourceType=CATEGORY&categoryId=184574,True,0,5.0,40.0,False,오홀리브,0,['쿠팡상품번호: 1837432543 - 3124165699'],[],21.0
799,800,184674,"방친구 아코르 잡이식 식탁 렌지대 셋트, 01_아코르 식탁렌지대 중i 그레이",79800,257023505,https://www.coupang.com/vp/products/257023505?itemId=806982977&vendorItemId=5051222905&sourceType=CATEGORY&categoryId=184574,False,0,4.5,58.0,False,방친구,착불배송,"['가로길이: 60cm', '가구자재등급: E1', '재질: 합성목재', '쿠팡상품번호: 257023505 - 806982977']",[],39.0
801,802,184674,"북유럽 카페 식당 4인 식탁 테이블 의자 세트 38종, 원형 다크블루-화이트",260500,4612916830,https://www.coupang.com/vp/products/4612916830?itemId=5704926215&vendorItemId=76199361651&sourceType=CATEGORY&categoryId=184574,False,0,4.5,6.0,False,,"20,000",['쿠팡상품번호: 4612916830 - 5704926215'],[],6.0
802,803,184674,"태성아이템 쿡 광파 다용도 렌지대 선반 1단, 월넛",19920,1702739774,https://www.coupang.com/vp/products/1702739774?itemId=2897739551&vendorItemId=70886727933&sourceType=CATEGORY&categoryId=184574,True,8,4.5,10.0,False,,0,['쿠팡상품번호: 1702739774 - 2897739551'],[],10.0
803,804,184674,"IKEA NISSE 접이식의자, 블랙",20650,57978592,https://www.coupang.com/vp/products/57978592?itemId=201081558&vendorItemId=70039187196&sourceType=CATEGORY&categoryId=184574,False,0,4.5,19.0,False,,착불배송,"['책상/PC용 의자종류: 접이식의자', '소파/의자 소재: 플라스틱', '등받이 유무: 등받이있음', '의자접이식여부: 접이식', '주방의자종류: 식탁의자', '쿠팡상품번호: 57978592 - 201081558']",[],7.0
804,805,184674,"리아룸 레일라 550 레터링 테이블, 화이트",12300,146085162,https://www.coupang.com/vp/products/146085162?itemId=423203882&vendorItemId=4041663419&sourceType=CATEGORY&categoryId=184574,True,0,4.0,15.0,False,,0,['쿠팡상품번호: 146085162 - 423203882'],[],4.0
805,806,184674,"도리퍼니처 캐빈4인 고무나무 원목 식탁, 우드",61500,195434056,https://www.coupang.com/vp/products/195434056?itemId=561294301&vendorItemId=4475358110&sourceType=CATEGORY&categoryId=184574,False,0,4.5,18.0,False,도리퍼니처,0,"['재질: 원목', '사이즈: 115cm x 75cm x 73cm', '가로길이: 115cm', '상판확장가능 여부: 확장불가', '식탁유리 유무: 유리 없음', '쿠팡상품번호: 195434056 - 561294301']",[],12.0
806,807,184674,"[데코라인] 오블리 4인 대리석 골드 식탁세트, 색상:화이트골드",329000,4615401044,https://www.coupang.com/vp/products/4615401044?itemId=5711754649&vendorItemId=73010528133&sourceType=CATEGORY&categoryId=184574,False,59,4.5,8.0,False,데코라인,착불배송,['쿠팡상품번호: 4615401044 - 5711754649'],[],8.0
810,811,184674,"조은세상 LPM 원형 테이블 R750, 화이트",29900,1715320069,https://www.coupang.com/vp/products/1715320069?itemId=2919654548&vendorItemId=70908313493&sourceType=CATEGORY&categoryId=184574,True,0,4.5,35.0,False,조은세상,0,"['형태: 원형', '쿠팡상품번호: 1715320069 - 2919654548']",[],23.0
811,812,184674,"민스퍼니처 프리모 접이식 테이블 1000 x 600 mm, 화이트",34300,1744561219,https://www.coupang.com/vp/products/1744561219?itemId=2970467567&vendorItemId=74619800406&sourceType=CATEGORY&categoryId=184574,True,0,4.0,42.0,False,,0,['쿠팡상품번호: 1744561219 - 2970467567'],[],42.0
812,813,184674,"이엔케이 270 정수기 받침대 조리대/하부장, 화이트",31900,301562321,https://www.coupang.com/vp/products/301562321?itemId=948908412&vendorItemId=5341139672&sourceType=CATEGORY&categoryId=184574,False,0,4.5,48.0,False,,"9,000","['사이즈: 270x500x740mm', '쿠팡상품번호: 301562321 - 948908412']",[],34.0
